Timestep: 0-0, Program time: 0.108186 s, Sim. time: 0 TU, Active/Total Cells: 386094/386094
Timestep: 0-100, Program time: 23.1977 s, Sim. time: 0.0714697 TU, Active/Total Cells: 386094/386094
Timestep: 0-200, Program time: 45.3189 s, Sim. time: 0.139558 TU, Active/Total Cells: 386094/386094
Timestep: 0-300, Program time: 66.7638 s, Sim. time: 0.204645 TU, Active/Total Cells: 386094/386094
Timestep: 0-400, Program time: 88.8455 s, Sim. time: 0.267409 TU, Active/Total Cells: 386094/386094
Timestep: 0-500, Program time: 110.239 s, Sim. time: 0.328356 TU, Active/Total Cells: 386094/386094
Timestep: 0-600, Program time: 131.106 s, Sim. time: 0.387819 TU, Active/Total Cells: 386094/386094
Timestep: 0-700, Program time: 152.067 s, Sim. time: 0.446132 TU, Active/Total Cells: 386094/386094
Timestep: 0-800, Program time: 173.127 s, Sim. time: 0.503539 TU, Active/Total Cells: 386094/386094
Timestep: 0-900, Program time: 194.264 s, Sim. time: 0.560249 TU, Active/Total Cells: 386094/386094
Timestep: 0-1000, Program time: 215.398 s, Sim. time: 0.616483 TU, Active/Total Cells: 386094/386094
Timestep: 0-1100, Program time: 236.511 s, Sim. time: 0.672466 TU, Active/Total Cells: 386094/386094
Timestep: 0-1146, Program time: 246.231 s, Sim. time: 0.698118 TU, Active/Total Cells: 386094/386094
Timestep: 0-1200, Program time: 258.454 s, Sim. time: 0.736982 TU, Active/Total Cells: 386094/386094
Timestep: 0-1300, Program time: 279.633 s, Sim. time: 0.806785 TU, Active/Total Cells: 386094/386094
Timestep: 0-1400, Program time: 300.751 s, Sim. time: 0.873156 TU, Active/Total Cells: 386094/386094
Timestep: 0-1500, Program time: 321.867 s, Sim. time: 0.936916 TU, Active/Total Cells: 386094/386094
Timestep: 0-1600, Program time: 342.909 s, Sim. time: 0.998636 TU, Active/Total Cells: 386094/386094
Timestep: 0-1700, Program time: 363.87 s, Sim. time: 1.05874 TU, Active/Total Cells: 386094/386094
Timestep: 0-1800, Program time: 384.81 s, Sim. time: 1.11756 TU, Active/Total Cells: 386094/386094
Timestep: 0-1900, Program time: 405.86 s, Sim. time: 1.17534 TU, Active/Total Cells: 386094/386094
Timestep: 0-2000, Program time: 427.967 s, Sim. time: 1.23236 TU, Active/Total Cells: 386094/386094
Timestep: 0-2100, Program time: 449.803 s, Sim. time: 1.2888 TU, Active/Total Cells: 386094/386094
Timestep: 0-2200, Program time: 471.205 s, Sim. time: 1.34486 TU, Active/Total Cells: 386094/386094
Timestep: 0-2292, Program time: 491.443 s, Sim. time: 1.39624 TU, Active/Total Cells: 386094/386094
Timestep: 0-2300, Program time: 494.113 s, Sim. time: 1.40146 TU, Active/Total Cells: 386094/386094
Timestep: 0-2400, Program time: 515.948 s, Sim. time: 1.47328 TU, Active/Total Cells: 386094/386094
Timestep: 0-2500, Program time: 537.332 s, Sim. time: 1.54111 TU, Active/Total Cells: 386094/386094
Timestep: 0-2600, Program time: 558.124 s, Sim. time: 1.60598 TU, Active/Total Cells: 386094/386094
Timestep: 0-2700, Program time: 578.908 s, Sim. time: 1.66859 TU, Active/Total Cells: 386094/386094
Timestep: 0-2800, Program time: 599.714 s, Sim. time: 1.7294 TU, Active/Total Cells: 386094/386094
Timestep: 0-2900, Program time: 620.545 s, Sim. time: 1.78877 TU, Active/Total Cells: 386094/386094
Timestep: 0-3000, Program time: 641.409 s, Sim. time: 1.84698 TU, Active/Total Cells: 386094/386094
Timestep: 0-3100, Program time: 662.299 s, Sim. time: 1.90433 TU, Active/Total Cells: 386094/386094
Timestep: 0-3200, Program time: 683.185 s, Sim. time: 1.961 TU, Active/Total Cells: 386094/386094
Timestep: 0-3300, Program time: 704.008 s, Sim. time: 2.0172 TU, Active/Total Cells: 386094/386094
Timestep: 0-3400, Program time: 725.793 s, Sim. time: 2.07317 TU, Active/Total Cells: 386094/386094
Timestep: 0-3438, Program time: 734.086 s, Sim. time: 2.09435 TU, Active/Total Cells: 386094/386094
Timestep: 1-0, Program time: 735.071 s, Sim. time: 2.09435 TU, Active/Total Cells: 474389/474389
Timestep: 1-100, Program time: 762.391 s, Sim. time: 2.16992 TU, Active/Total Cells: 474389/474389
Timestep: 1-200, Program time: 788.766 s, Sim. time: 2.24337 TU, Active/Total Cells: 474389/474389
Timestep: 1-300, Program time: 814.481 s, Sim. time: 2.31481 TU, Active/Total Cells: 474389/474389
Timestep: 1-400, Program time: 839.693 s, Sim. time: 2.38468 TU, Active/Total Cells: 474389/474389
Timestep: 1-500, Program time: 864.881 s, Sim. time: 2.45316 TU, Active/Total Cells: 474389/474389
Timestep: 1-600, Program time: 890.195 s, Sim. time: 2.52033 TU, Active/Total Cells: 474389/474389
Timestep: 1-700, Program time: 915.473 s, Sim. time: 2.58629 TU, Active/Total Cells: 474389/474389
Timestep: 1-800, Program time: 940.71 s, Sim. time: 2.65079 TU, Active/Total Cells: 474389/474389
Timestep: 1-900, Program time: 965.957 s, Sim. time: 2.71248 TU, Active/Total Cells: 474389/474389
Timestep: 1-1000, Program time: 991.192 s, Sim. time: 2.77213 TU, Active/Total Cells: 474389/474389
Timestep: 1-1035, Program time: 1000.13 s, Sim. time: 2.79247 TU, Active/Total Cells: 474389/474389
Timestep: 1-1100, Program time: 1017.54 s, Sim. time: 2.84175 TU, Active/Total Cells: 474389/474389
Timestep: 1-1200, Program time: 1042.98 s, Sim. time: 2.91604 TU, Active/Total Cells: 474389/474389
Timestep: 1-1300, Program time: 1069.4 s, Sim. time: 2.98815 TU, Active/Total Cells: 474389/474389
Timestep: 1-1400, Program time: 1094.88 s, Sim. time: 3.05849 TU, Active/Total Cells: 474389/474389
Timestep: 1-1500, Program time: 1120.11 s, Sim. time: 3.12743 TU, Active/Total Cells: 474389/474389
Timestep: 1-1600, Program time: 1146.2 s, Sim. time: 3.19508 TU, Active/Total Cells: 474389/474389
Timestep: 1-1700, Program time: 1172.32 s, Sim. time: 3.26146 TU, Active/Total Cells: 474389/474389
Timestep: 1-1800, Program time: 1198.39 s, Sim. time: 3.32659 TU, Active/Total Cells: 474389/474389
Timestep: 1-1900, Program time: 1224.42 s, Sim. time: 3.38932 TU, Active/Total Cells: 474389/474389
Timestep: 1-2000, Program time: 1250.53 s, Sim. time: 3.44955 TU, Active/Total Cells: 474389/474389
Timestep: 1-2070, Program time: 1268.77 s, Sim. time: 3.49059 TU, Active/Total Cells: 474389/474389
Timestep: 1-2100, Program time: 1277.58 s, Sim. time: 3.51316 TU, Active/Total Cells: 474389/474389
Timestep: 1-2200, Program time: 1303.58 s, Sim. time: 3.5884 TU, Active/Total Cells: 474389/474389
Timestep: 1-2300, Program time: 1330.64 s, Sim. time: 3.66124 TU, Active/Total Cells: 474389/474389
Timestep: 1-2400, Program time: 1357.74 s, Sim. time: 3.73216 TU, Active/Total Cells: 474389/474389
Timestep: 1-2500, Program time: 1383.86 s, Sim. time: 3.80158 TU, Active/Total Cells: 474389/474389
Timestep: 1-2600, Program time: 1409.87 s, Sim. time: 3.86968 TU, Active/Total Cells: 474389/474389
Timestep: 1-2700, Program time: 1435.93 s, Sim. time: 3.93649 TU, Active/Total Cells: 474389/474389
Timestep: 1-2800, Program time: 1462.04 s, Sim. time: 4.00207 TU, Active/Total Cells: 474389/474389
Timestep: 1-2900, Program time: 1488.11 s, Sim. time: 4.06583 TU, Active/Total Cells: 474389/474389
Timestep: 1-3000, Program time: 1514.25 s, Sim. time: 4.12679 TU, Active/Total Cells: 474389/474389
Timestep: 1-3100, Program time: 1540.24 s, Sim. time: 4.18603 TU, Active/Total Cells: 474389/474389
Timestep: 1-3105, Program time: 1541.54 s, Sim. time: 4.18871 TU, Active/Total Cells: 474389/474389
Timestep: 2-0, Program time: 1542.59 s, Sim. time: 4.18871 TU, Active/Total Cells: 273574/273574
Timestep: 2-100, Program time: 1558.81 s, Sim. time: 4.26551 TU, Active/Total Cells: 273574/273574
Timestep: 2-200, Program time: 1574.48 s, Sim. time: 4.3426 TU, Active/Total Cells: 273574/273574
Timestep: 2-300, Program time: 1590.59 s, Sim. time: 4.42002 TU, Active/Total Cells: 273574/273574
Timestep: 2-400, Program time: 1607.06 s, Sim. time: 4.49861 TU, Active/Total Cells: 273574/273574
Timestep: 2-500, Program time: 1623.22 s, Sim. time: 4.57902 TU, Active/Total Cells: 273574/273574
Timestep: 2-600, Program time: 1638.89 s, Sim. time: 4.66216 TU, Active/Total Cells: 273574/273574
Timestep: 2-700, Program time: 1654.54 s, Sim. time: 4.74521 TU, Active/Total Cells: 273574/273574
Timestep: 2-800, Program time: 1670.2 s, Sim. time: 4.82233 TU, Active/Total Cells: 273574/273574
Timestep: 2-889, Program time: 1684.12 s, Sim. time: 4.88683 TU, Active/Total Cells: 273574/273574
Timestep: 2-900, Program time: 1686.41 s, Sim. time: 4.89467 TU, Active/Total Cells: 273574/273574
Timestep: 2-1000, Program time: 1702.35 s, Sim. time: 4.9721 TU, Active/Total Cells: 273574/273574
Timestep: 2-1100, Program time: 1718.81 s, Sim. time: 5.04921 TU, Active/Total Cells: 273574/273574
Timestep: 2-1200, Program time: 1735.24 s, Sim. time: 5.12673 TU, Active/Total Cells: 273574/273574
Timestep: 2-1300, Program time: 1751.31 s, Sim. time: 5.20546 TU, Active/Total Cells: 273574/273574
Timestep: 2-1400, Program time: 1766.99 s, Sim. time: 5.28612 TU, Active/Total Cells: 273574/273574
Timestep: 2-1500, Program time: 1782.66 s, Sim. time: 5.36965 TU, Active/Total Cells: 273574/273574
Timestep: 2-1600, Program time: 1798.32 s, Sim. time: 5.45207 TU, Active/Total Cells: 273574/273574
Timestep: 2-1700, Program time: 1813.98 s, Sim. time: 5.52863 TU, Active/Total Cells: 273574/273574
Timestep: 2-1778, Program time: 1826.24 s, Sim. time: 5.58494 TU, Active/Total Cells: 273574/273574
Timestep: 2-1800, Program time: 1830.26 s, Sim. time: 5.60141 TU, Active/Total Cells: 273574/273574
Timestep: 2-1900, Program time: 1845.99 s, Sim. time: 5.67869 TU, Active/Total Cells: 273574/273574
Timestep: 2-2000, Program time: 1862.24 s, Sim. time: 5.75582 TU, Active/Total Cells: 273574/273574
Timestep: 2-2100, Program time: 1878.69 s, Sim. time: 5.83344 TU, Active/Total Cells: 273574/273574
Timestep: 2-2200, Program time: 1894.79 s, Sim. time: 5.91237 TU, Active/Total Cells: 273574/273574
Timestep: 2-2300, Program time: 1910.45 s, Sim. time: 5.99322 TU, Active/Total Cells: 273574/273574
