Timestep: 0-0, Program time: 4.1e-08 s, Sim. time: 0 TU, Active/Total Cells: 2385/2402, Max key %: 1.30104e-14%
Timestep: 0-100, Program time: 2.12069 s, Sim. time: 0.0006694 TU, Active/Total Cells: 17599/30559, Max key %: 1.79835e-10%
Timestep: 0-200, Program time: 7.29847 s, Sim. time: 0.0013276 TU, Active/Total Cells: 30844/50952, Max key %: 1.64325e-09%
Timestep: 0-300, Program time: 16.6716 s, Sim. time: 0.00197511 TU, Active/Total Cells: 45156/72235, Max key %: 6.75876e-09%
Timestep: 0-400, Program time: 32.6102 s, Sim. time: 0.00261212 TU, Active/Total Cells: 60203/93834, Max key %: 1.98243e-08%
Timestep: 0-500, Program time: 54.3666 s, Sim. time: 0.00323905 TU, Active/Total Cells: 76502/116897, Max key %: 4.62498e-08%
Timestep: 0-600, Program time: 81.2908 s, Sim. time: 0.00385657 TU, Active/Total Cells: 93022/140115, Max key %: 9.09702e-08%
Timestep: 0-700, Program time: 118.045 s, Sim. time: 0.00446509 TU, Active/Total Cells: 110060/163296, Max key %: 1.62247e-07%
Timestep: 0-800, Program time: 160.021 s, Sim. time: 0.00506452 TU, Active/Total Cells: 126807/186963, Max key %: 2.73499e-07%
Timestep: 0-900, Program time: 210.6 s, Sim. time: 0.00565626 TU, Active/Total Cells: 145436/212584, Max key %: 4.40558e-07%
Timestep: 0-1000, Program time: 272.408 s, Sim. time: 0.00624053 TU, Active/Total Cells: 163134/236913, Max key %: 6.65511e-07%
Timestep: 0-1008, Program time: 278.193 s, Sim. time: 0.00628317 TU, Active/Total Cells: 164654/235320, Max key %: 6.92911e-07%
Timestep: 0-1100, Program time: 344.129 s, Sim. time: 0.00681452 TU, Active/Total Cells: 182113/263121, Max key %: 9.79214e-07%
Timestep: 0-1200, Program time: 421.562 s, Sim. time: 0.00738622 TU, Active/Total Cells: 201025/288246, Max key %: 1.39262e-06%
Timestep: 0-1300, Program time: 511.316 s, Sim. time: 0.00795294 TU, Active/Total Cells: 219209/314103, Max key %: 1.92488e-06%
Timestep: 0-1400, Program time: 611.49 s, Sim. time: 0.00851581 TU, Active/Total Cells: 238467/340501, Max key %: 2.64703e-06%
Timestep: 0-1500, Program time: 716.487 s, Sim. time: 0.0090754 TU, Active/Total Cells: 257485/366626, Max key %: 3.5241e-06%
Timestep: 0-1600, Program time: 834.257 s, Sim. time: 0.00963316 TU, Active/Total Cells: 277213/393054, Max key %: 4.64147e-06%
Timestep: 0-1700, Program time: 967.497 s, Sim. time: 0.01019 TU, Active/Total Cells: 296659/419726, Max key %: 6.00564e-06%
Timestep: 0-1800, Program time: 1111.02 s, Sim. time: 0.0107476 TU, Active/Total Cells: 316234/446934, Max key %: 7.70664e-06%
Timestep: 0-1900, Program time: 1271.69 s, Sim. time: 0.0113072 TU, Active/Total Cells: 335409/473313, Max key %: 9.74591e-06%
Timestep: 0-2000, Program time: 1456.18 s, Sim. time: 0.0118713 TU, Active/Total Cells: 354862/500919, Max key %: 1.2325e-05%
Timestep: 0-2100, Program time: 1667.37 s, Sim. time: 0.0124417 TU, Active/Total Cells: 374468/528281, Max key %: 1.53851e-05%
Timestep: 0-2122, Program time: 1725.35 s, Sim. time: 0.0125663 TU, Active/Total Cells: 378750/495483, Max key %: 1.62562e-05%
Timestep: 0-2200, Program time: 1894.69 s, Sim. time: 0.0130187 TU, Active/Total Cells: 394161/555979, Max key %: 1.90936e-05%
Timestep: 0-2300, Program time: 2125.65 s, Sim. time: 0.0136088 TU, Active/Total Cells: 413291/582726, Max key %: 2.36966e-05%
