Timestep: 0-0, Program time: 0.218922 s, Sim. time: 0 TU, Active/Total Cells: 805055/805055
Timestep: 0-100, Program time: 51.2649 s, Sim. time: 0.000662769 TU, Active/Total Cells: 805055/805055
Timestep: 0-200, Program time: 100.09 s, Sim. time: 0.00132108 TU, Active/Total Cells: 805055/805055
Timestep: 0-300, Program time: 148.958 s, Sim. time: 0.00196871 TU, Active/Total Cells: 805055/805055
Timestep: 0-400, Program time: 197.453 s, Sim. time: 0.00260579 TU, Active/Total Cells: 805055/805055
Timestep: 0-500, Program time: 246.463 s, Sim. time: 0.00323282 TU, Active/Total Cells: 805055/805055
Timestep: 0-600, Program time: 295.27 s, Sim. time: 0.00385044 TU, Active/Total Cells: 805055/805055
Timestep: 0-700, Program time: 344.485 s, Sim. time: 0.00445904 TU, Active/Total Cells: 805055/805055
Timestep: 0-800, Program time: 391.956 s, Sim. time: 0.00505857 TU, Active/Total Cells: 805055/805055
Timestep: 0-900, Program time: 441.355 s, Sim. time: 0.00565037 TU, Active/Total Cells: 805055/805055
Timestep: 0-1000, Program time: 490.325 s, Sim. time: 0.00623473 TU, Active/Total Cells: 805055/805055
Timestep: 0-1010, Program time: 496.591 s, Sim. time: 0.00628897 TU, Active/Total Cells: 805055/805055
Timestep: 0-1100, Program time: 542.814 s, Sim. time: 0.00688541 TU, Active/Total Cells: 805055/805055
Timestep: 0-1200, Program time: 592.221 s, Sim. time: 0.00754485 TU, Active/Total Cells: 805055/805055
Timestep: 0-1300, Program time: 642.022 s, Sim. time: 0.00819338 TU, Active/Total Cells: 805055/805055
Timestep: 0-1400, Program time: 691.575 s, Sim. time: 0.00883139 TU, Active/Total Cells: 805055/805055
Timestep: 0-1500, Program time: 741.048 s, Sim. time: 0.00945949 TU, Active/Total Cells: 805055/805055
Timestep: 0-1600, Program time: 790.143 s, Sim. time: 0.0100782 TU, Active/Total Cells: 805055/805055
Timestep: 0-1700, Program time: 839.641 s, Sim. time: 0.0106874 TU, Active/Total Cells: 805055/805055
Timestep: 0-1800, Program time: 888.648 s, Sim. time: 0.011288 TU, Active/Total Cells: 805055/805055
Timestep: 0-1900, Program time: 937.925 s, Sim. time: 0.0118804 TU, Active/Total Cells: 805055/805055
Timestep: 0-2000, Program time: 987.453 s, Sim. time: 0.0124656 TU, Active/Total Cells: 805055/805055
Timestep: 0-2020, Program time: 998.567 s, Sim. time: 0.0125779 TU, Active/Total Cells: 805055/805055
Timestep: 0-2100, Program time: 1040.65 s, Sim. time: 0.0131078 TU, Active/Total Cells: 805055/805055
Timestep: 0-2200, Program time: 1089.98 s, Sim. time: 0.0137683 TU, Active/Total Cells: 805055/805055
Timestep: 0-2300, Program time: 1139.3 s, Sim. time: 0.0144179 TU, Active/Total Cells: 805055/805055
Timestep: 0-2400, Program time: 1188.34 s, Sim. time: 0.015057 TU, Active/Total Cells: 805055/805055
Timestep: 0-2500, Program time: 1237.55 s, Sim. time: 0.0156861 TU, Active/Total Cells: 805055/805055
Timestep: 0-2600, Program time: 1288.29 s, Sim. time: 0.0163058 TU, Active/Total Cells: 805055/805055
Timestep: 0-2700, Program time: 1338.78 s, Sim. time: 0.0169158 TU, Active/Total Cells: 805055/805055
Timestep: 0-2800, Program time: 1388.92 s, Sim. time: 0.0175173 TU, Active/Total Cells: 805055/805055
Timestep: 0-2900, Program time: 1439.36 s, Sim. time: 0.0181105 TU, Active/Total Cells: 805055/805055
Timestep: 0-3000, Program time: 1489.19 s, Sim. time: 0.0186963 TU, Active/Total Cells: 805055/805055
Timestep: 0-3030, Program time: 1505.21 s, Sim. time: 0.0188669 TU, Active/Total Cells: 805055/805055
Timestep: 0-3100, Program time: 1543.76 s, Sim. time: 0.01933 TU, Active/Total Cells: 805055/805055
Timestep: 0-3200, Program time: 1594.83 s, Sim. time: 0.0199916 TU, Active/Total Cells: 805055/805055
Timestep: 0-3300, Program time: 1645.87 s, Sim. time: 0.0206423 TU, Active/Total Cells: 805055/805055
Timestep: 0-3400, Program time: 1697.03 s, Sim. time: 0.0212825 TU, Active/Total Cells: 805055/805055
Timestep: 0-3500, Program time: 1748.24 s, Sim. time: 0.0219127 TU, Active/Total Cells: 805055/805055
Timestep: 0-3600, Program time: 1799.37 s, Sim. time: 0.0225331 TU, Active/Total Cells: 805055/805055
Timestep: 0-3700, Program time: 1850.36 s, Sim. time: 0.0231441 TU, Active/Total Cells: 805055/805055
Timestep: 0-3800, Program time: 1901.59 s, Sim. time: 0.0237466 TU, Active/Total Cells: 805055/805055
Timestep: 0-3900, Program time: 1952.51 s, Sim. time: 0.0243405 TU, Active/Total Cells: 805055/805055
Timestep: 0-4000, Program time: 2003.6 s, Sim. time: 0.0249269 TU, Active/Total Cells: 805055/805055
Timestep: 0-4040, Program time: 2024.46 s, Sim. time: 0.0251559 TU, Active/Total Cells: 805055/805055
Timestep: 0-4100, Program time: 2058.61 s, Sim. time: 0.0255521 TU, Active/Total Cells: 805055/805055
Timestep: 0-4200, Program time: 2109.57 s, Sim. time: 0.0262149 TU, Active/Total Cells: 805055/805055
Timestep: 0-4300, Program time: 2160.36 s, Sim. time: 0.0268667 TU, Active/Total Cells: 805055/805055
Timestep: 0-4400, Program time: 2211.4 s, Sim. time: 0.027508 TU, Active/Total Cells: 805055/805055
