Program time: 0.00480575 s, Sim. time: 0 TU, Members: 10000
Program time: 4.74647 s, Sim. time: 0.0648655 TU, Members: 10000
Program time: 9.49572 s, Sim. time: 0.129731 TU, Members: 10000
Program time: 14.2291 s, Sim. time: 0.194597 TU, Members: 10000
Program time: 18.988 s, Sim. time: 0.259462 TU, Members: 10000
Program time: 23.7225 s, Sim. time: 0.324328 TU, Members: 10000
Program time: 28.4612 s, Sim. time: 0.389193 TU, Members: 10000
Program time: 33.2004 s, Sim. time: 0.454059 TU, Members: 10000
Program time: 37.9262 s, Sim. time: 0.518924 TU, Members: 10000
Program time: 42.6549 s, Sim. time: 0.58379 TU, Members: 10000
Program time: 47.3874 s, Sim. time: 0.648655 TU, Members: 10000
Program time: 52.1167 s, Sim. time: 0.713521 TU, Members: 10000
Program time: 56.8963 s, Sim. time: 0.778386 TU, Members: 10000
Program time: 61.6187 s, Sim. time: 0.843252 TU, Members: 10000
Program time: 66.3339 s, Sim. time: 0.908117 TU, Members: 10000
Program time: 71.0646 s, Sim. time: 0.972983 TU, Members: 10000
Program time: 75.7966 s, Sim. time: 1.03785 TU, Members: 10000
