Timestep: 0-0, Program time: 4.2e-08 s, Sim. time: 0 TU, Active/Total Cells: 2321/2402, Max key %: 1.30104e-14%
Timestep: 0-100, Program time: 2.11298 s, Sim. time: 0.134681 TU, Active/Total Cells: 8858/28728, Max key %: 4.42159e-09%
Timestep: 0-200, Program time: 6.34898 s, Sim. time: 0.257838 TU, Active/Total Cells: 19290/53557, Max key %: 4.44969e-08%
Timestep: 0-300, Program time: 15.3165 s, Sim. time: 0.374078 TU, Active/Total Cells: 32975/83915, Max key %: 1.73536e-07%
Timestep: 0-400, Program time: 29.1461 s, Sim. time: 0.48592 TU, Active/Total Cells: 48681/115050, Max key %: 4.44045e-07%
Timestep: 0-500, Program time: 46.6934 s, Sim. time: 0.594997 TU, Active/Total Cells: 65952/148070, Max key %: 9.03657e-07%
Timestep: 0-596, Program time: 68.0703 s, Sim. time: 0.698118 TU, Active/Total Cells: 83442/166537, Max key %: 1.54764e-06%
Timestep: 0-600, Program time: 69.1162 s, Sim. time: 0.702413 TU, Active/Total Cells: 84307/183100, Max key %: 1.58178e-06%
Timestep: 0-700, Program time: 98.9765 s, Sim. time: 0.809903 TU, Active/Total Cells: 103419/220350, Max key %: 2.53514e-06%
Timestep: 0-800, Program time: 136.357 s, Sim. time: 0.91848 TU, Active/Total Cells: 122369/256773, Max key %: 3.66775e-06%
Timestep: 0-900, Program time: 181.501 s, Sim. time: 1.02962 TU, Active/Total Cells: 141001/291325, Max key %: 5.10165e-06%
Timestep: 0-1000, Program time: 234.749 s, Sim. time: 1.14517 TU, Active/Total Cells: 158343/327360, Max key %: 6.61252e-06%
Timestep: 0-1100, Program time: 298.543 s, Sim. time: 1.26772 TU, Active/Total Cells: 176505/390975, Max key %: 8.25662e-06%
Timestep: 0-1197, Program time: 379.291 s, Sim. time: 1.39624 TU, Active/Total Cells: 205705/441867, Max key %: 9.71102e-06%
Timestep: 0-1200, Program time: 382.274 s, Sim. time: 1.40045 TU, Active/Total Cells: 207517/485163, Max key %: 9.71102e-06%
Timestep: 0-1300, Program time: 492.951 s, Sim. time: 1.55373 TU, Active/Total Cells: 263698/622202, Max key %: 1.09768e-05%
Timestep: 0-1400, Program time: 629.429 s, Sim. time: 1.70721 TU, Active/Total Cells: 328597/697063, Max key %: 1.15005e-05%
Timestep: 0-1500, Program time: 787.749 s, Sim. time: 1.84874 TU, Active/Total Cells: 384176/777013, Max key %: 1.07565e-05%
Timestep: 0-1600, Program time: 965.457 s, Sim. time: 1.98288 TU, Active/Total Cells: 433412/856116, Max key %: 9.91178e-06%
Timestep: 0-1687, Program time: 1134.66 s, Sim. time: 2.09435 TU, Active/Total Cells: 470622/857081, Max key %: 9.842e-06%
Timestep: 1-0, Program time: 1137.37 s, Sim. time: 2.09435 TU, Active/Total Cells: 2070/3789, Max key %: 8.01777e-06%
Timestep: 1-100, Program time: 1140.51 s, Sim. time: 2.23792 TU, Active/Total Cells: 17872/50610, Max key %: 1.01854e-05%
Timestep: 1-200, Program time: 1148.25 s, Sim. time: 2.37353 TU, Active/Total Cells: 34885/86088, Max key %: 1.15732e-05%
Timestep: 1-300, Program time: 1162.48 s, Sim. time: 2.50388 TU, Active/Total Cells: 56674/128026, Max key %: 1.23578e-05%
Timestep: 1-400, Program time: 1184.87 s, Sim. time: 2.62954 TU, Active/Total Cells: 86782/179439, Max key %: 1.27643e-05%
Timestep: 1-500, Program time: 1223.7 s, Sim. time: 2.74728 TU, Active/Total Cells: 118841/235193, Max key %: 1.27633e-05%
Timestep: 1-541, Program time: 1244.74 s, Sim. time: 2.79247 TU, Active/Total Cells: 130758/196103, Max key %: 1.24366e-05%
Timestep: 1-600, Program time: 1273.65 s, Sim. time: 2.85758 TU, Active/Total Cells: 145307/288537, Max key %: 1.26801e-05%
Timestep: 1-700, Program time: 1333.85 s, Sim. time: 2.95624 TU, Active/Total Cells: 168442/330507, Max key %: 1.25978e-05%
Timestep: 1-800, Program time: 1407.09 s, Sim. time: 3.04876 TU, Active/Total Cells: 201121/394149, Max key %: 1.26793e-05%
Timestep: 1-900, Program time: 1499.15 s, Sim. time: 3.13957 TU, Active/Total Cells: 230676/496724, Max key %: 1.30949e-05%
Timestep: 1-1000, Program time: 1613.8 s, Sim. time: 3.22982 TU, Active/Total Cells: 258733/561973, Max key %: 1.3956e-05%
Timestep: 1-1100, Program time: 1746.94 s, Sim. time: 3.31922 TU, Active/Total Cells: 289499/639369, Max key %: 1.47672e-05%
Timestep: 1-1200, Program time: 1901.38 s, Sim. time: 3.41302 TU, Active/Total Cells: 326826/721490, Max key %: 1.60004e-05%
Timestep: 1-1277, Program time: 2037.12 s, Sim. time: 3.49059 TU, Active/Total Cells: 360825/737572, Max key %: 1.73089e-05%
Timestep: 1-1300, Program time: 2081.06 s, Sim. time: 3.51459 TU, Active/Total Cells: 378889/818602, Max key %: 1.7622e-05%
Timestep: 1-1400, Program time: 2292.44 s, Sim. time: 3.62322 TU, Active/Total Cells: 447623/967170, Max key %: 1.90281e-05%
Timestep: 1-1500, Program time: 2550.19 s, Sim. time: 3.74366 TU, Active/Total Cells: 514100/1117418, Max key %: 1.98196e-05%
Timestep: 1-1600, Program time: 2847.48 s, Sim. time: 3.86912 TU, Active/Total Cells: 560512/1216910, Max key %: 1.97061e-05%
Timestep: 1-1700, Program time: 3177.75 s, Sim. time: 3.99684 TU, Active/Total Cells: 587844/1264175, Max key %: 1.78358e-05%
Timestep: 1-1800, Program time: 3528.49 s, Sim. time: 4.12757 TU, Active/Total Cells: 602870/1278299, Max key %: 1.55214e-05%
Timestep: 1-1846, Program time: 3691.02 s, Sim. time: 4.18871 TU, Active/Total Cells: 594933/1131405, Max key %: 1.42277e-05%
Timestep: 2-0, Program time: 3694.92 s, Sim. time: 4.18871 TU, Active/Total Cells: 2082/3799, Max key %: 7.95983e-06%
Timestep: 2-100, Program time: 3698.6 s, Sim. time: 4.3369 TU, Active/Total Cells: 18102/51511, Max key %: 7.15383e-06%
Timestep: 2-200, Program time: 3707.9 s, Sim. time: 4.4855 TU, Active/Total Cells: 34700/86120, Max key %: 8.34352e-06%
Timestep: 2-300, Program time: 3723.9 s, Sim. time: 4.63957 TU, Active/Total Cells: 55479/126530, Max key %: 9.08688e-06%
Timestep: 2-400, Program time: 3748.4 s, Sim. time: 4.7942 TU, Active/Total Cells: 81767/166563, Max key %: 8.77225e-06%
Timestep: 2-467, Program time: 3770.12 s, Sim. time: 4.88683 TU, Active/Total Cells: 96858/183383, Max key %: 8.34505e-06%
Timestep: 2-500, Program time: 3782.47 s, Sim. time: 4.9302 TU, Active/Total Cells: 103887/212869, Max key %: 8.10801e-06%
Timestep: 2-600, Program time: 3825.58 s, Sim. time: 5.05426 TU, Active/Total Cells: 123057/259776, Max key %: 7.15633e-06%
Timestep: 2-700, Program time: 3880.81 s, Sim. time: 5.17337 TU, Active/Total Cells: 147623/306407, Max key %: 5.95837e-06%
Timestep: 2-800, Program time: 3948.95 s, Sim. time: 5.28564 TU, Active/Total Cells: 175257/346109, Max key %: 4.71898e-06%
