Timestep: 0-0, Program time: 7.916e-06 s, Sim. time: 0 TU, Active/Total Cells: 2321/2402, Max key %: 1.30104e-14%
Timestep: 0-100, Program time: 1.96762 s, Sim. time: 0.00090463 TU, Active/Total Cells: 10864/27668, Max key %: 1.27941e-09%
Timestep: 0-200, Program time: 6.37927 s, Sim. time: 0.00178673 TU, Active/Total Cells: 18361/42471, Max key %: 1.56778e-08%
Timestep: 0-300, Program time: 13.8685 s, Sim. time: 0.00264838 TU, Active/Total Cells: 26338/57538, Max key %: 7.23848e-08%
Timestep: 0-400, Program time: 24.5131 s, Sim. time: 0.00349094 TU, Active/Total Cells: 35070/73499, Max key %: 2.22147e-07%
Timestep: 0-500, Program time: 39.2916 s, Sim. time: 0.0043161 TU, Active/Total Cells: 44837/90384, Max key %: 5.32859e-07%
Timestep: 0-600, Program time: 59.6609 s, Sim. time: 0.0051252 TU, Active/Total Cells: 55657/108000, Max key %: 1.11821e-06%
Timestep: 0-614, Program time: 63.5558 s, Sim. time: 0.00523597 TU, Active/Total Cells: 57159/91313, Max key %: 1.24253e-06%
Timestep: 0-700, Program time: 86.8391 s, Sim. time: 0.00591833 TU, Active/Total Cells: 67460/125826, Max key %: 2.08943e-06%
Timestep: 0-800, Program time: 118.638 s, Sim. time: 0.00670032 TU, Active/Total Cells: 80321/145778, Max key %: 3.65134e-06%
Timestep: 0-900, Program time: 156.023 s, Sim. time: 0.00747136 TU, Active/Total Cells: 93932/166804, Max key %: 5.95885e-06%
Timestep: 0-1000, Program time: 202.192 s, Sim. time: 0.00823352 TU, Active/Total Cells: 108120/188576, Max key %: 9.34787e-06%
Timestep: 0-1100, Program time: 250.542 s, Sim. time: 0.00898931 TU, Active/Total Cells: 122478/212278, Max key %: 1.40994e-05%
Timestep: 0-1200, Program time: 308.019 s, Sim. time: 0.00974125 TU, Active/Total Cells: 137742/236457, Max key %: 2.07024e-05%
Timestep: 0-1298, Program time: 371.646 s, Sim. time: 0.0104719 TU, Active/Total Cells: 152808/250546, Max key %: 2.92376e-05%
Timestep: 0-1300, Program time: 372.899 s, Sim. time: 0.010487 TU, Active/Total Cells: 153422/257675, Max key %: 2.93915e-05%
Timestep: 0-1400, Program time: 447.96 s, Sim. time: 0.0112404 TU, Active/Total Cells: 169851/288572, Max key %: 4.09589e-05%
Timestep: 0-1500, Program time: 529.073 s, Sim. time: 0.0120001 TU, Active/Total Cells: 186779/316078, Max key %: 5.61447e-05%
Timestep: 0-1600, Program time: 620.861 s, Sim. time: 0.0127716 TU, Active/Total Cells: 203773/344806, Max key %: 7.61458e-05%
Timestep: 0-1700, Program time: 729.796 s, Sim. time: 0.0135608 TU, Active/Total Cells: 221197/374158, Max key %: 0.00010224%
Timestep: 0-1800, Program time: 861.309 s, Sim. time: 0.014375 TU, Active/Total Cells: 238307/403522, Max key %: 0.000135981%
Timestep: 0-1900, Program time: 1007.37 s, Sim. time: 0.0152196 TU, Active/Total Cells: 253157/431455, Max key %: 0.000179841%
Timestep: 0-1958, Program time: 1088.39 s, Sim. time: 0.0157079 TU, Active/Total Cells: 254863/425701, Max key %: 0.000209045%
Timestep: 0-2000, Program time: 1140.32 s, Sim. time: 0.0160599 TU, Active/Total Cells: 258852/451088, Max key %: 0.000231362%
Timestep: 0-2100, Program time: 1259.65 s, Sim. time: 0.0168721 TU, Active/Total Cells: 270099/466896, Max key %: 0.000291506%
Timestep: 0-2200, Program time: 1386.08 s, Sim. time: 0.0176567 TU, Active/Total Cells: 281463/481049, Max key %: 0.000358637%
Timestep: 0-2300, Program time: 1512.41 s, Sim. time: 0.0184208 TU, Active/Total Cells: 293927/496551, Max key %: 0.000432098%
Timestep: 0-2400, Program time: 1640.25 s, Sim. time: 0.019171 TU, Active/Total Cells: 305452/512300, Max key %: 0.000516304%
Timestep: 0-2500, Program time: 1774.6 s, Sim. time: 0.0199132 TU, Active/Total Cells: 317224/526807, Max key %: 0.000604781%
Timestep: 0-2600, Program time: 1913.73 s, Sim. time: 0.020652 TU, Active/Total Cells: 326852/539305, Max key %: 0.000702501%
Timestep: 0-2640, Program time: 1969.33 s, Sim. time: 0.0209439 TU, Active/Total Cells: 329350/545223, Max key %: 0.000745079%
Timestep: 0-2700, Program time: 2057.16 s, Sim. time: 0.0213875 TU, Active/Total Cells: 334893/551072, Max key %: 0.000809756%
Timestep: 0-2800, Program time: 2210.1 s, Sim. time: 0.0221295 TU, Active/Total Cells: 341997/562706, Max key %: 0.000926795%
Timestep: 0-2900, Program time: 2368.04 s, Sim. time: 0.0228769 TU, Active/Total Cells: 348532/572902, Max key %: 0.00105383%
Timestep: 0-3000, Program time: 2532.17 s, Sim. time: 0.0236325 TU, Active/Total Cells: 354558/580844, Max key %: 0.00118854%
Timestep: 0-3100, Program time: 2702.89 s, Sim. time: 0.0243982 TU, Active/Total Cells: 359098/589388, Max key %: 0.00133577%
Timestep: 0-3200, Program time: 2882.02 s, Sim. time: 0.0251755 TU, Active/Total Cells: 363259/596638, Max key %: 0.00149334%
Timestep: 0-3300, Program time: 3055.89 s, Sim. time: 0.025966 TU, Active/Total Cells: 367367/603725, Max key %: 0.00166446%
Timestep: 0-3327, Program time: 3102.4 s, Sim. time: 0.0261799 TU, Active/Total Cells: 368225/578053, Max key %: 0.00171269%
Timestep: 0-3400, Program time: 3226.55 s, Sim. time: 0.0267686 TU, Active/Total Cells: 370687/610373, Max key %: 0.00184644%
Timestep: 0-3500, Program time: 3391.09 s, Sim. time: 0.0275883 TU, Active/Total Cells: 373506/616657, Max key %: 0.00203923%
Timestep: 0-3600, Program time: 3555.2 s, Sim. time: 0.0284241 TU, Active/Total Cells: 375792/622626, Max key %: 0.00225073%
Timestep: 0-3700, Program time: 3715.65 s, Sim. time: 0.0292766 TU, Active/Total Cells: 377563/627520, Max key %: 0.00246971%
Timestep: 0-3800, Program time: 3874.74 s, Sim. time: 0.0301461 TU, Active/Total Cells: 379131/631732, Max key %: 0.0027043%
Timestep: 0-3900, Program time: 4023.45 s, Sim. time: 0.0310331 TU, Active/Total Cells: 379430/635585, Max key %: 0.00295031%
Timestep: 0-3943, Program time: 4090.99 s, Sim. time: 0.0314158 TU, Active/Total Cells: 379727/569363, Max key %: 0.00306935%
