Timestep: 0-0, Program time: 1.7375e-05 s, Sim. time: 0 TU, Active/Total Cells: 2385/2402, Max key %: 1.30104e-14%
Timestep: 0-100, Program time: 3.12967 s, Sim. time: 0.000903908 TU, Active/Total Cells: 17016/38814, Max key %: 1.36456e-09%
Timestep: 0-200, Program time: 10.7604 s, Sim. time: 0.00178602 TU, Active/Total Cells: 29554/61413, Max key %: 1.67882e-08%
Timestep: 0-300, Program time: 23.3506 s, Sim. time: 0.00264798 TU, Active/Total Cells: 43460/84807, Max key %: 7.76178e-08%
Timestep: 0-400, Program time: 40.7324 s, Sim. time: 0.00349138 TU, Active/Total Cells: 58563/109083, Max key %: 2.34238e-07%
Timestep: 0-500, Program time: 64.1289 s, Sim. time: 0.00431742 TU, Active/Total Cells: 76002/135274, Max key %: 5.7192e-07%
Timestep: 0-600, Program time: 98.0672 s, Sim. time: 0.00512768 TU, Active/Total Cells: 94966/163231, Max key %: 1.18606e-06%
Timestep: 0-614, Program time: 104.856 s, Sim. time: 0.00523597 TU, Active/Total Cells: 97460/144498, Max key %: 1.30104e-06%
Timestep: 0-700, Program time: 144.774 s, Sim. time: 0.00591977 TU, Active/Total Cells: 115226/193543, Max key %: 2.19751e-06%
Timestep: 0-800, Program time: 208.237 s, Sim. time: 0.00670324 TU, Active/Total Cells: 136913/224886, Max key %: 3.84869e-06%
Timestep: 0-900, Program time: 276.561 s, Sim. time: 0.00747549 TU, Active/Total Cells: 159468/258389, Max key %: 6.24305e-06%
Timestep: 0-1000, Program time: 355.325 s, Sim. time: 0.00823911 TU, Active/Total Cells: 181891/292857, Max key %: 9.81307e-06%
Timestep: 0-1100, Program time: 446.29 s, Sim. time: 0.00899676 TU, Active/Total Cells: 205505/328354, Max key %: 1.46398e-05%
Timestep: 0-1200, Program time: 555.529 s, Sim. time: 0.00975045 TU, Active/Total Cells: 229354/364398, Max key %: 2.14226e-05%
Timestep: 0-1296, Program time: 673.595 s, Sim. time: 0.0104719 TU, Active/Total Cells: 252098/371619, Max key %: 3.00129e-05%
Timestep: 0-1300, Program time: 677.766 s, Sim. time: 0.0105021 TU, Active/Total Cells: 253159/400383, Max key %: 3.0485e-05%
Timestep: 0-1400, Program time: 810.548 s, Sim. time: 0.0112579 TU, Active/Total Cells: 277889/439067, Max key %: 4.25633e-05%
Timestep: 0-1500, Program time: 955.383 s, Sim. time: 0.0120202 TU, Active/Total Cells: 302432/477498, Max key %: 5.84321e-05%
Timestep: 0-1600, Program time: 1112.74 s, Sim. time: 0.0127951 TU, Active/Total Cells: 327505/516187, Max key %: 7.90178e-05%
Timestep: 0-1700, Program time: 1289.97 s, Sim. time: 0.013588 TU, Active/Total Cells: 352202/556160, Max key %: 0.000105819%
Timestep: 0-1800, Program time: 1488.96 s, Sim. time: 0.0144066 TU, Active/Total Cells: 376883/595210, Max key %: 0.000140409%
Timestep: 0-1900, Program time: 1722.78 s, Sim. time: 0.0152545 TU, Active/Total Cells: 398501/632658, Max key %: 0.000185298%
Timestep: 0-1954, Program time: 1837.04 s, Sim. time: 0.0157079 TU, Active/Total Cells: 406634/577439, Max key %: 0.000213782%
Timestep: 0-2000, Program time: 1919 s, Sim. time: 0.0160926 TU, Active/Total Cells: 413035/661916, Max key %: 0.000238689%
Timestep: 0-2100, Program time: 2091.93 s, Sim. time: 0.0169018 TU, Active/Total Cells: 431955/689778, Max key %: 0.000300214%
Timestep: 0-2200, Program time: 2271.74 s, Sim. time: 0.0176819 TU, Active/Total Cells: 448344/711140, Max key %: 0.000367777%
