Timestep: 0-0, Program time: 7.583e-06 s, Sim. time: 0 TU, Active/Total Cells: 643941/643941
Timestep: 0-100, Program time: 41.5763 s, Sim. time: 0.000894994 TU, Active/Total Cells: 643941/643941
Timestep: 0-200, Program time: 81.523 s, Sim. time: 0.00177731 TU, Active/Total Cells: 643941/643941
Timestep: 0-300, Program time: 121.023 s, Sim. time: 0.00263946 TU, Active/Total Cells: 643941/643941
Timestep: 0-400, Program time: 160.744 s, Sim. time: 0.00348302 TU, Active/Total Cells: 643941/643941
Timestep: 0-500, Program time: 200.334 s, Sim. time: 0.00430925 TU, Active/Total Cells: 643941/643941
Timestep: 0-600, Program time: 238.799 s, Sim. time: 0.00511966 TU, Active/Total Cells: 643941/643941
Timestep: 0-615, Program time: 245.839 s, Sim. time: 0.00523597 TU, Active/Total Cells: 643941/643941
Timestep: 0-700, Program time: 281.738 s, Sim. time: 0.00599677 TU, Active/Total Cells: 643941/643941
Timestep: 0-800, Program time: 321.432 s, Sim. time: 0.0068822 TU, Active/Total Cells: 643941/643941
Timestep: 0-900, Program time: 361.332 s, Sim. time: 0.00774732 TU, Active/Total Cells: 643941/643941
Timestep: 0-1000, Program time: 401.393 s, Sim. time: 0.00859359 TU, Active/Total Cells: 643941/643941
Timestep: 0-1100, Program time: 440.89 s, Sim. time: 0.00942233 TU, Active/Total Cells: 643941/643941
Timestep: 0-1200, Program time: 480.043 s, Sim. time: 0.010235 TU, Active/Total Cells: 643941/643941
Timestep: 0-1230, Program time: 492.562 s, Sim. time: 0.0104719 TU, Active/Total Cells: 643941/643941
Timestep: 0-1300, Program time: 522.88 s, Sim. time: 0.0110981 TU, Active/Total Cells: 643941/643941
Timestep: 0-1400, Program time: 562.49 s, Sim. time: 0.0119868 TU, Active/Total Cells: 643941/643941
Timestep: 0-1500, Program time: 602.19 s, Sim. time: 0.0128548 TU, Active/Total Cells: 643941/643941
Timestep: 0-1600, Program time: 641.566 s, Sim. time: 0.0137038 TU, Active/Total Cells: 643941/643941
Timestep: 0-1700, Program time: 681.06 s, Sim. time: 0.0145351 TU, Active/Total Cells: 643941/643941
Timestep: 0-1800, Program time: 720.97 s, Sim. time: 0.0153501 TU, Active/Total Cells: 643941/643941
Timestep: 0-1845, Program time: 739.442 s, Sim. time: 0.0157079 TU, Active/Total Cells: 643941/643941
Timestep: 0-1900, Program time: 765.531 s, Sim. time: 0.0161989 TU, Active/Total Cells: 643941/643941
Timestep: 0-2000, Program time: 806.898 s, Sim. time: 0.0170907 TU, Active/Total Cells: 643941/643941
Timestep: 0-2100, Program time: 848.246 s, Sim. time: 0.0179617 TU, Active/Total Cells: 643941/643941
Timestep: 0-2200, Program time: 889.132 s, Sim. time: 0.0188136 TU, Active/Total Cells: 643941/643941
Timestep: 0-2300, Program time: 929.988 s, Sim. time: 0.0196474 TU, Active/Total Cells: 643941/643941
Timestep: 0-2400, Program time: 970.95 s, Sim. time: 0.0204648 TU, Active/Total Cells: 643941/643941
Timestep: 0-2460, Program time: 996.9 s, Sim. time: 0.0209439 TU, Active/Total Cells: 643941/643941
Timestep: 0-2500, Program time: 1015.2 s, Sim. time: 0.0212991 TU, Active/Total Cells: 643941/643941
Timestep: 0-2600, Program time: 1056.19 s, Sim. time: 0.0221943 TU, Active/Total Cells: 643941/643941
Timestep: 0-2700, Program time: 1097.04 s, Sim. time: 0.0230684 TU, Active/Total Cells: 643941/643941
Timestep: 0-2800, Program time: 1137.49 s, Sim. time: 0.0239229 TU, Active/Total Cells: 643941/643941
Timestep: 0-2900, Program time: 1178.77 s, Sim. time: 0.0247595 TU, Active/Total Cells: 643941/643941
Timestep: 0-3000, Program time: 1219.94 s, Sim. time: 0.0255791 TU, Active/Total Cells: 643941/643941
Timestep: 0-3075, Program time: 1251.11 s, Sim. time: 0.0261799 TU, Active/Total Cells: 643941/643941
Timestep: 0-3100, Program time: 1263.18 s, Sim. time: 0.0263989 TU, Active/Total Cells: 643941/643941
Timestep: 0-3200, Program time: 1304.35 s, Sim. time: 0.0272974 TU, Active/Total Cells: 643941/643941
Timestep: 0-3300, Program time: 1344.19 s, Sim. time: 0.0281745 TU, Active/Total Cells: 643941/643941
Timestep: 0-3400, Program time: 1385.26 s, Sim. time: 0.029032 TU, Active/Total Cells: 643941/643941
Timestep: 0-3500, Program time: 1426.31 s, Sim. time: 0.029871 TU, Active/Total Cells: 643941/643941
Timestep: 0-3600, Program time: 1467.7 s, Sim. time: 0.0306932 TU, Active/Total Cells: 643941/643941
Timestep: 0-3690, Program time: 1504.64 s, Sim. time: 0.0314158 TU, Active/Total Cells: 643941/643941
