Program time: 0.118036 s, Sim. time: 0 TU, Particles: 100000
Program time: 47.7367 s, Sim. time: 0.0648655 TU, Particles: 100000
Program time: 95.3833 s, Sim. time: 0.129731 TU, Particles: 100000
Program time: 142.263 s, Sim. time: 0.194597 TU, Particles: 100000
Program time: 188.695 s, Sim. time: 0.259462 TU, Particles: 100000
Program time: 235.138 s, Sim. time: 0.324328 TU, Particles: 100000
Program time: 281.497 s, Sim. time: 0.389193 TU, Particles: 100000
Program time: 327.847 s, Sim. time: 0.454059 TU, Particles: 100000
Program time: 374.254 s, Sim. time: 0.518924 TU, Particles: 100000
Program time: 420.665 s, Sim. time: 0.58379 TU, Particles: 100000
Program time: 467.908 s, Sim. time: 0.648655 TU, Particles: 100000
Program time: 515.654 s, Sim. time: 0.713521 TU, Particles: 100000
Program time: 563.263 s, Sim. time: 0.778386 TU, Particles: 100000
Program time: 611.062 s, Sim. time: 0.843252 TU, Particles: 100000
Program time: 658.825 s, Sim. time: 0.908117 TU, Particles: 100000
Program time: 706.513 s, Sim. time: 0.972983 TU, Particles: 100000
Program time: 754.223 s, Sim. time: 1.03785 TU, Particles: 100000
