Program time: 1.12022 s, Sim. time: 0 TU, Particles: 1000000
Program time: 460.396 s, Sim. time: 0.0648655 TU, Particles: 1000000
Program time: 937.083 s, Sim. time: 0.129731 TU, Particles: 1000000
Program time: 1401.73 s, Sim. time: 0.194597 TU, Particles: 1000000
Program time: 1859.05 s, Sim. time: 0.259462 TU, Particles: 1000000
Program time: 2316.32 s, Sim. time: 0.324328 TU, Particles: 1000000
Program time: 2773.82 s, Sim. time: 0.389193 TU, Particles: 1000000
Program time: 3231.58 s, Sim. time: 0.454059 TU, Particles: 1000000
Program time: 3689.55 s, Sim. time: 0.518924 TU, Particles: 1000000
Program time: 4149.45 s, Sim. time: 0.58379 TU, Particles: 1000000
Program time: 4620.18 s, Sim. time: 0.648655 TU, Particles: 1000000
Program time: 5089.3 s, Sim. time: 0.713521 TU, Particles: 1000000
Program time: 5556.33 s, Sim. time: 0.778386 TU, Particles: 1000000
Program time: 6022.19 s, Sim. time: 0.843252 TU, Particles: 1000000
Program time: 6486.71 s, Sim. time: 0.908117 TU, Particles: 1000000
Program time: 7069.1 s, Sim. time: 0.972983 TU, Particles: 1000000
Program time: 7724.27 s, Sim. time: 1.03785 TU, Particles: 1000000
