Program time: 0.00744875 s, Sim. time: 0 s, Members: 10000
Program time: 11.8591 s, Sim. time: 634.42 s, Members: 10000
Program time: 23.6144 s, Sim. time: 1268.84 s, Members: 10000
Program time: 35.3921 s, Sim. time: 1903.26 s, Members: 10000
Program time: 47.0954 s, Sim. time: 2537.68 s, Members: 10000
Program time: 58.8326 s, Sim. time: 3172.1 s, Members: 10000
Program time: 70.7177 s, Sim. time: 3806.52 s, Members: 10000
Program time: 82.4183 s, Sim. time: 4440.94 s, Members: 10000
Program time: 94.1236 s, Sim. time: 5075.36 s, Members: 10000
Program time: 105.506 s, Sim. time: 5709.78 s, Members: 10000
Program time: 116.886 s, Sim. time: 6344.2 s, Members: 10000
Program time: 128.239 s, Sim. time: 6978.62 s, Members: 10000
Program time: 139.592 s, Sim. time: 7613.03 s, Members: 10000
Program time: 150.906 s, Sim. time: 8247.45 s, Members: 10000
Program time: 162.098 s, Sim. time: 8881.87 s, Members: 10000
Program time: 173.306 s, Sim. time: 9516.29 s, Members: 10000
Program time: 184.487 s, Sim. time: 10150.7 s, Members: 10000
Program time: 195.951 s, Sim. time: 10785.1 s, Members: 10000
Program time: 207.431 s, Sim. time: 11419.6 s, Members: 10000
Program time: 218.916 s, Sim. time: 12054 s, Members: 10000
Program time: 230.556 s, Sim. time: 12688.4 s, Members: 10000
Program time: 242.228 s, Sim. time: 13322.8 s, Members: 10000
Program time: 253.885 s, Sim. time: 13957.2 s, Members: 10000
Program time: 265.577 s, Sim. time: 14591.7 s, Members: 10000
Program time: 277.241 s, Sim. time: 15226.1 s, Members: 10000
Program time: 288.589 s, Sim. time: 15860.5 s, Members: 10000
Program time: 299.943 s, Sim. time: 16494.9 s, Members: 10000
Program time: 312.36 s, Sim. time: 17129.3 s, Members: 10000
Program time: 323.739 s, Sim. time: 17763.7 s, Members: 10000
Program time: 335.073 s, Sim. time: 18398.2 s, Members: 10000
Program time: 346.342 s, Sim. time: 19032.6 s, Members: 10000
Program time: 357.562 s, Sim. time: 19667 s, Members: 10000
Program time: 368.789 s, Sim. time: 20301.4 s, Members: 10000
Program time: 380.279 s, Sim. time: 20935.8 s, Members: 10000
Program time: 391.796 s, Sim. time: 21570.3 s, Members: 10000
Program time: 403.311 s, Sim. time: 22204.7 s, Members: 10000
Program time: 414.978 s, Sim. time: 22839.1 s, Members: 10000
Program time: 426.705 s, Sim. time: 23473.5 s, Members: 10000
Program time: 438.425 s, Sim. time: 24107.9 s, Members: 10000
Program time: 450.134 s, Sim. time: 24742.4 s, Members: 10000
Program time: 461.766 s, Sim. time: 25376.8 s, Members: 10000
Program time: 473.293 s, Sim. time: 26011.2 s, Members: 10000
Program time: 484.601 s, Sim. time: 26645.6 s, Members: 10000
Program time: 495.976 s, Sim. time: 27280 s, Members: 10000
Program time: 507.345 s, Sim. time: 27914.5 s, Members: 10000
Program time: 518.617 s, Sim. time: 28548.9 s, Members: 10000
Program time: 529.754 s, Sim. time: 29183.3 s, Members: 10000
Program time: 540.89 s, Sim. time: 29817.7 s, Members: 10000
Program time: 552.092 s, Sim. time: 30452.1 s, Members: 10000
