Program time: 0.00741158 s, Sim. time: 0 s, Members: 10000
Program time: 46.8404 s, Sim. time: 2537.68 s, Members: 10000
Program time: 94.0626 s, Sim. time: 5075.36 s, Members: 10000
Program time: 139.082 s, Sim. time: 7613.03 s, Members: 10000
Program time: 183.834 s, Sim. time: 10150.7 s, Members: 10000
Program time: 229.802 s, Sim. time: 12688.4 s, Members: 10000
Program time: 276.677 s, Sim. time: 15226.1 s, Members: 10000
Program time: 322.183 s, Sim. time: 17763.7 s, Members: 10000
Program time: 367.205 s, Sim. time: 20301.4 s, Members: 10000
Program time: 413.418 s, Sim. time: 22839.1 s, Members: 10000
Program time: 459.893 s, Sim. time: 25376.8 s, Members: 10000
Program time: 505.097 s, Sim. time: 27914.5 s, Members: 10000
Program time: 549.482 s, Sim. time: 30452.1 s, Members: 10000
Program time: 595.244 s, Sim. time: 32989.8 s, Members: 10000
Program time: 641.437 s, Sim. time: 35527.5 s, Members: 10000
Program time: 686.174 s, Sim. time: 38065.2 s, Members: 10000
Program time: 730.584 s, Sim. time: 40602.9 s, Members: 10000
Program time: 776.424 s, Sim. time: 43140.5 s, Members: 10000
Program time: 823.004 s, Sim. time: 45678.2 s, Members: 10000
Program time: 868.619 s, Sim. time: 48215.9 s, Members: 10000
Program time: 913.511 s, Sim. time: 50753.6 s, Members: 10000
Program time: 959.484 s, Sim. time: 53291.2 s, Members: 10000
Program time: 1005.98 s, Sim. time: 55828.9 s, Members: 10000
Program time: 1051.08 s, Sim. time: 58366.6 s, Members: 10000
Program time: 1095.89 s, Sim. time: 60904.3 s, Members: 10000
