Program time: 0.00680233 s, Sim. time: 0 s, Members: 10000
Program time: 8.99546 s, Sim. time: 634.42 s, Members: 10000
Program time: 17.8699 s, Sim. time: 1268.84 s, Members: 10000
Program time: 26.8216 s, Sim. time: 1903.26 s, Members: 10000
Program time: 35.8513 s, Sim. time: 2537.68 s, Members: 10000
Program time: 44.8334 s, Sim. time: 3172.1 s, Members: 10000
Program time: 53.9077 s, Sim. time: 3806.52 s, Members: 10000
Program time: 63.0592 s, Sim. time: 4440.94 s, Members: 10000
Program time: 72.2318 s, Sim. time: 5075.36 s, Members: 10000
Program time: 81.4324 s, Sim. time: 5709.78 s, Members: 10000
Program time: 90.6139 s, Sim. time: 6344.2 s, Members: 10000
Program time: 99.6841 s, Sim. time: 6978.62 s, Members: 10000
Program time: 108.794 s, Sim. time: 7613.03 s, Members: 10000
Program time: 117.87 s, Sim. time: 8247.45 s, Members: 10000
Program time: 126.987 s, Sim. time: 8881.87 s, Members: 10000
Program time: 136.158 s, Sim. time: 9516.29 s, Members: 10000
Program time: 145.26 s, Sim. time: 10150.7 s, Members: 10000
Program time: 154.349 s, Sim. time: 10785.1 s, Members: 10000
Program time: 163.406 s, Sim. time: 11419.6 s, Members: 10000
Program time: 172.382 s, Sim. time: 12054 s, Members: 10000
Program time: 181.377 s, Sim. time: 12688.4 s, Members: 10000
Program time: 190.405 s, Sim. time: 13322.8 s, Members: 10000
Program time: 199.396 s, Sim. time: 13957.2 s, Members: 10000
Program time: 208.485 s, Sim. time: 14591.7 s, Members: 10000
Program time: 217.597 s, Sim. time: 15226.1 s, Members: 10000
Program time: 226.704 s, Sim. time: 15860.5 s, Members: 10000
Program time: 235.816 s, Sim. time: 16494.9 s, Members: 10000
Program time: 244.766 s, Sim. time: 17129.3 s, Members: 10000
Program time: 253.823 s, Sim. time: 17763.7 s, Members: 10000
Program time: 262.862 s, Sim. time: 18398.2 s, Members: 10000
Program time: 271.982 s, Sim. time: 19032.6 s, Members: 10000
Program time: 281.049 s, Sim. time: 19667 s, Members: 10000
Program time: 290.207 s, Sim. time: 20301.4 s, Members: 10000
Program time: 299.375 s, Sim. time: 20935.8 s, Members: 10000
Program time: 308.433 s, Sim. time: 21570.3 s, Members: 10000
Program time: 317.378 s, Sim. time: 22204.7 s, Members: 10000
Program time: 326.39 s, Sim. time: 22839.1 s, Members: 10000
Program time: 335.469 s, Sim. time: 23473.5 s, Members: 10000
Program time: 344.449 s, Sim. time: 24107.9 s, Members: 10000
Program time: 353.394 s, Sim. time: 24742.4 s, Members: 10000
Program time: 362.446 s, Sim. time: 25376.8 s, Members: 10000
Program time: 371.495 s, Sim. time: 26011.2 s, Members: 10000
Program time: 380.721 s, Sim. time: 26645.6 s, Members: 10000
Program time: 389.909 s, Sim. time: 27280 s, Members: 10000
Program time: 399.241 s, Sim. time: 27914.5 s, Members: 10000
Program time: 408.492 s, Sim. time: 28548.9 s, Members: 10000
Program time: 417.698 s, Sim. time: 29183.3 s, Members: 10000
Program time: 426.75 s, Sim. time: 29817.7 s, Members: 10000
Program time: 435.797 s, Sim. time: 30452.1 s, Members: 10000
