Program time: 0.00768871 s, Sim. time: 0 s, Members: 10000
Program time: 35.9669 s, Sim. time: 2537.68 s, Members: 10000
Program time: 72.1152 s, Sim. time: 5075.36 s, Members: 10000
Program time: 107.595 s, Sim. time: 7613.03 s, Members: 10000
Program time: 143.099 s, Sim. time: 10150.7 s, Members: 10000
Program time: 178.621 s, Sim. time: 12688.4 s, Members: 10000
Program time: 213.993 s, Sim. time: 15226.1 s, Members: 10000
Program time: 249.49 s, Sim. time: 17763.7 s, Members: 10000
Program time: 284.595 s, Sim. time: 20301.4 s, Members: 10000
Program time: 320.579 s, Sim. time: 22839.1 s, Members: 10000
Program time: 356.194 s, Sim. time: 25376.8 s, Members: 10000
Program time: 392.009 s, Sim. time: 27914.5 s, Members: 10000
Program time: 427.768 s, Sim. time: 30452.1 s, Members: 10000
Program time: 463.195 s, Sim. time: 32989.8 s, Members: 10000
Program time: 498.652 s, Sim. time: 35527.5 s, Members: 10000
Program time: 533.987 s, Sim. time: 38065.2 s, Members: 10000
Program time: 569.35 s, Sim. time: 40602.9 s, Members: 10000
Program time: 604.788 s, Sim. time: 43140.5 s, Members: 10000
Program time: 640.169 s, Sim. time: 45678.2 s, Members: 10000
Program time: 675.797 s, Sim. time: 48215.9 s, Members: 10000
Program time: 711.2 s, Sim. time: 50753.6 s, Members: 10000
Program time: 747.129 s, Sim. time: 53291.2 s, Members: 10000
Program time: 782.308 s, Sim. time: 55828.9 s, Members: 10000
Program time: 817.789 s, Sim. time: 58366.6 s, Members: 10000
Program time: 853.113 s, Sim. time: 60904.3 s, Members: 10000
