Program time: 0.00675475 s, Sim. time: 0 s, Members: 10000
Program time: 26.4341 s, Sim. time: 1481.56 s, Members: 10000
Program time: 52.8355 s, Sim. time: 2963.11 s, Members: 10000
Program time: 79.9485 s, Sim. time: 4444.66 s, Members: 10000
Program time: 107.14 s, Sim. time: 5926.22 s, Members: 10000
Program time: 133.656 s, Sim. time: 7407.78 s, Members: 10000
Program time: 160.307 s, Sim. time: 8889.33 s, Members: 10000
Program time: 187.656 s, Sim. time: 10370.9 s, Members: 10000
Program time: 214.848 s, Sim. time: 11852.4 s, Members: 10000
Program time: 241.083 s, Sim. time: 13334 s, Members: 10000
Program time: 268.022 s, Sim. time: 14815.6 s, Members: 10000
Program time: 295.343 s, Sim. time: 16297.1 s, Members: 10000
Program time: 322.185 s, Sim. time: 17778.7 s, Members: 10000
Program time: 348.273 s, Sim. time: 19260.2 s, Members: 10000
Program time: 375.099 s, Sim. time: 20741.8 s, Members: 10000
Program time: 402.454 s, Sim. time: 22223.3 s, Members: 10000
Program time: 429.336 s, Sim. time: 23704.9 s, Members: 10000
Program time: 455.767 s, Sim. time: 25186.4 s, Members: 10000
Program time: 482.4 s, Sim. time: 26668 s, Members: 10000
Program time: 509.764 s, Sim. time: 28149.5 s, Members: 10000
Program time: 536.437 s, Sim. time: 29631.1 s, Members: 10000
Program time: 563.035 s, Sim. time: 31112.7 s, Members: 10000
Program time: 589.374 s, Sim. time: 32594.2 s, Members: 10000
Program time: 616.628 s, Sim. time: 34075.8 s, Members: 10000
Program time: 643.278 s, Sim. time: 35557.3 s, Members: 10000
