Program time: 0.006892 s, Sim. time: 0 s, Members: 10000
Program time: 19.7096 s, Sim. time: 1481.56 s, Members: 10000
Program time: 39.5867 s, Sim. time: 2963.11 s, Members: 10000
Program time: 59.3823 s, Sim. time: 4444.66 s, Members: 10000
Program time: 78.6012 s, Sim. time: 5926.22 s, Members: 10000
Program time: 97.888 s, Sim. time: 7407.78 s, Members: 10000
Program time: 117.495 s, Sim. time: 8889.33 s, Members: 10000
Program time: 137.13 s, Sim. time: 10370.9 s, Members: 10000
Program time: 156.598 s, Sim. time: 11852.4 s, Members: 10000
Program time: 176.022 s, Sim. time: 13334 s, Members: 10000
Program time: 195.464 s, Sim. time: 14815.6 s, Members: 10000
Program time: 214.928 s, Sim. time: 16297.1 s, Members: 10000
Program time: 234.319 s, Sim. time: 17778.7 s, Members: 10000
Program time: 253.826 s, Sim. time: 19260.2 s, Members: 10000
Program time: 273.221 s, Sim. time: 20741.8 s, Members: 10000
Program time: 292.696 s, Sim. time: 22223.3 s, Members: 10000
Program time: 312.09 s, Sim. time: 23704.9 s, Members: 10000
Program time: 331.53 s, Sim. time: 25186.4 s, Members: 10000
Program time: 350.984 s, Sim. time: 26668 s, Members: 10000
Program time: 370.603 s, Sim. time: 28149.5 s, Members: 10000
Program time: 390.135 s, Sim. time: 29631.1 s, Members: 10000
Program time: 409.932 s, Sim. time: 31112.7 s, Members: 10000
Program time: 429.767 s, Sim. time: 32594.2 s, Members: 10000
Program time: 449.679 s, Sim. time: 34075.8 s, Members: 10000
Program time: 469.7 s, Sim. time: 35557.3 s, Members: 10000
