Program time: 0.00668042 s, Sim. time: 0 s, Members: 10000
Program time: 20.9426 s, Sim. time: 1481.56 s, Members: 10000
Program time: 42.1104 s, Sim. time: 2963.11 s, Members: 10000
Program time: 63.2754 s, Sim. time: 4444.66 s, Members: 10000
Program time: 83.8978 s, Sim. time: 5926.22 s, Members: 10000
Program time: 104.525 s, Sim. time: 7407.78 s, Members: 10000
Program time: 125.095 s, Sim. time: 8889.33 s, Members: 10000
Program time: 145.685 s, Sim. time: 10370.9 s, Members: 10000
Program time: 166.5 s, Sim. time: 11852.4 s, Members: 10000
Program time: 187.204 s, Sim. time: 13334 s, Members: 10000
Program time: 207.768 s, Sim. time: 14815.6 s, Members: 10000
Program time: 228.335 s, Sim. time: 16297.1 s, Members: 10000
Program time: 248.974 s, Sim. time: 17778.7 s, Members: 10000
Program time: 269.562 s, Sim. time: 19260.2 s, Members: 10000
Program time: 290.195 s, Sim. time: 20741.8 s, Members: 10000
Program time: 310.798 s, Sim. time: 22223.3 s, Members: 10000
Program time: 331.615 s, Sim. time: 23704.9 s, Members: 10000
Program time: 352.136 s, Sim. time: 25186.4 s, Members: 10000
Program time: 372.677 s, Sim. time: 26668 s, Members: 10000
Program time: 393.296 s, Sim. time: 28149.5 s, Members: 10000
Program time: 413.892 s, Sim. time: 29631.1 s, Members: 10000
Program time: 434.51 s, Sim. time: 31112.7 s, Members: 10000
Program time: 455.111 s, Sim. time: 32594.2 s, Members: 10000
Program time: 475.711 s, Sim. time: 34075.8 s, Members: 10000
Program time: 496.317 s, Sim. time: 35557.3 s, Members: 10000
