Timestep: 0-0, Program time: 1.1333e-05 s, Sim. time: 0 s, Active/Total Cells: 100000/100000
Timestep: 0-100, Program time: 24.9432 s, Sim. time: 300 s, Active/Total Cells: 100000/100000
Timestep: 0-200, Program time: 49.3507 s, Sim. time: 600 s, Active/Total Cells: 100000/100000
Timestep: 0-300, Program time: 73.7423 s, Sim. time: 900 s, Active/Total Cells: 100000/100000
Timestep: 0-400, Program time: 97.7793 s, Sim. time: 1200 s, Active/Total Cells: 100000/100000
Timestep: 0-494, Program time: 120.447 s, Sim. time: 1481.56 s, Active/Total Cells: 100000/100000
Timestep: 0-500, Program time: 122.271 s, Sim. time: 1499.56 s, Active/Total Cells: 100000/100000
Timestep: 0-600, Program time: 146.644 s, Sim. time: 1799.56 s, Active/Total Cells: 100000/100000
Timestep: 0-700, Program time: 171 s, Sim. time: 2099.56 s, Active/Total Cells: 100000/100000
Timestep: 0-800, Program time: 195.47 s, Sim. time: 2399.56 s, Active/Total Cells: 100000/100000
Timestep: 0-900, Program time: 219.939 s, Sim. time: 2699.56 s, Active/Total Cells: 100000/100000
Timestep: 0-988, Program time: 241.506 s, Sim. time: 2963.11 s, Active/Total Cells: 100000/100000
Timestep: 0-1000, Program time: 245.03 s, Sim. time: 2999.11 s, Active/Total Cells: 100000/100000
Timestep: 0-1100, Program time: 270.382 s, Sim. time: 3299.11 s, Active/Total Cells: 100000/100000
Timestep: 0-1200, Program time: 295.442 s, Sim. time: 3599.11 s, Active/Total Cells: 100000/100000
Timestep: 0-1300, Program time: 320.421 s, Sim. time: 3899.11 s, Active/Total Cells: 100000/100000
Timestep: 0-1400, Program time: 345.238 s, Sim. time: 4199.11 s, Active/Total Cells: 100000/100000
Timestep: 0-1482, Program time: 366.118 s, Sim. time: 4444.66 s, Active/Total Cells: 100000/100000
Timestep: 0-1500, Program time: 370.817 s, Sim. time: 4498.66 s, Active/Total Cells: 100000/100000
Timestep: 0-1600, Program time: 395.55 s, Sim. time: 4798.66 s, Active/Total Cells: 100000/100000
Timestep: 0-1700, Program time: 420.268 s, Sim. time: 5098.66 s, Active/Total Cells: 100000/100000
Timestep: 0-1800, Program time: 445.257 s, Sim. time: 5398.66 s, Active/Total Cells: 100000/100000
Timestep: 0-1900, Program time: 470.128 s, Sim. time: 5698.66 s, Active/Total Cells: 100000/100000
Timestep: 0-1976, Program time: 488.807 s, Sim. time: 5926.22 s, Active/Total Cells: 100000/100000
Timestep: 0-2000, Program time: 495.105 s, Sim. time: 5998.22 s, Active/Total Cells: 100000/100000
Timestep: 0-2100, Program time: 519.577 s, Sim. time: 6298.22 s, Active/Total Cells: 100000/100000
Timestep: 0-2200, Program time: 544.116 s, Sim. time: 6598.22 s, Active/Total Cells: 100000/100000
Timestep: 0-2300, Program time: 568.412 s, Sim. time: 6898.22 s, Active/Total Cells: 100000/100000
Timestep: 0-2400, Program time: 592.516 s, Sim. time: 7198.22 s, Active/Total Cells: 100000/100000
Timestep: 0-2470, Program time: 609.622 s, Sim. time: 7407.78 s, Active/Total Cells: 100000/100000
Timestep: 0-2500, Program time: 617.191 s, Sim. time: 7497.78 s, Active/Total Cells: 100000/100000
Timestep: 0-2600, Program time: 641.146 s, Sim. time: 7797.78 s, Active/Total Cells: 100000/100000
Timestep: 0-2700, Program time: 664.808 s, Sim. time: 8097.78 s, Active/Total Cells: 100000/100000
Timestep: 0-2800, Program time: 688.503 s, Sim. time: 8397.78 s, Active/Total Cells: 100000/100000
Timestep: 0-2900, Program time: 712.71 s, Sim. time: 8697.78 s, Active/Total Cells: 100000/100000
Timestep: 0-2964, Program time: 728.549 s, Sim. time: 8889.33 s, Active/Total Cells: 100000/100000
Timestep: 0-3000, Program time: 737.937 s, Sim. time: 8997.33 s, Active/Total Cells: 100000/100000
Timestep: 0-3100, Program time: 762.338 s, Sim. time: 9297.33 s, Active/Total Cells: 100000/100000
Timestep: 0-3200, Program time: 786.961 s, Sim. time: 9597.33 s, Active/Total Cells: 100000/100000
Timestep: 0-3300, Program time: 811.892 s, Sim. time: 9897.33 s, Active/Total Cells: 100000/100000
Timestep: 0-3400, Program time: 836.993 s, Sim. time: 10197.3 s, Active/Total Cells: 100000/100000
Timestep: 0-3458, Program time: 851.462 s, Sim. time: 10370.9 s, Active/Total Cells: 100000/100000
Timestep: 0-3500, Program time: 862.135 s, Sim. time: 10496.9 s, Active/Total Cells: 100000/100000
Timestep: 0-3600, Program time: 886.101 s, Sim. time: 10796.9 s, Active/Total Cells: 100000/100000
Timestep: 0-3700, Program time: 911.444 s, Sim. time: 11096.9 s, Active/Total Cells: 100000/100000
Timestep: 0-3800, Program time: 937.297 s, Sim. time: 11396.9 s, Active/Total Cells: 100000/100000
Timestep: 0-3900, Program time: 961.918 s, Sim. time: 11696.9 s, Active/Total Cells: 100000/100000
Timestep: 0-3952, Program time: 974.898 s, Sim. time: 11852.4 s, Active/Total Cells: 100000/100000
Timestep: 0-4000, Program time: 986.962 s, Sim. time: 11996.4 s, Active/Total Cells: 100000/100000
Timestep: 0-4100, Program time: 1011.44 s, Sim. time: 12296.4 s, Active/Total Cells: 100000/100000
Timestep: 0-4200, Program time: 1035.03 s, Sim. time: 12596.4 s, Active/Total Cells: 100000/100000
Timestep: 0-4300, Program time: 1058.58 s, Sim. time: 12896.4 s, Active/Total Cells: 100000/100000
Timestep: 0-4400, Program time: 1082.24 s, Sim. time: 13196.4 s, Active/Total Cells: 100000/100000
Timestep: 0-4446, Program time: 1093.34 s, Sim. time: 13334 s, Active/Total Cells: 100000/100000
Timestep: 0-4500, Program time: 1106.65 s, Sim. time: 13496 s, Active/Total Cells: 100000/100000
Timestep: 0-4600, Program time: 1130.69 s, Sim. time: 13796 s, Active/Total Cells: 100000/100000
Timestep: 0-4700, Program time: 1154.9 s, Sim. time: 14096 s, Active/Total Cells: 100000/100000
Timestep: 0-4800, Program time: 1179.03 s, Sim. time: 14396 s, Active/Total Cells: 100000/100000
Timestep: 0-4900, Program time: 1203.07 s, Sim. time: 14696 s, Active/Total Cells: 100000/100000
Timestep: 0-4940, Program time: 1213.19 s, Sim. time: 14815.6 s, Active/Total Cells: 100000/100000
Timestep: 0-5000, Program time: 1228.62 s, Sim. time: 14995.6 s, Active/Total Cells: 100000/100000
Timestep: 0-5100, Program time: 1253.53 s, Sim. time: 15295.6 s, Active/Total Cells: 100000/100000
Timestep: 0-5200, Program time: 1278.36 s, Sim. time: 15595.6 s, Active/Total Cells: 100000/100000
Timestep: 0-5300, Program time: 1303 s, Sim. time: 15895.6 s, Active/Total Cells: 100000/100000
Timestep: 0-5400, Program time: 1327.61 s, Sim. time: 16195.6 s, Active/Total Cells: 100000/100000
Timestep: 0-5434, Program time: 1336.16 s, Sim. time: 16297.1 s, Active/Total Cells: 100000/100000
Timestep: 0-5500, Program time: 1352.63 s, Sim. time: 16495.1 s, Active/Total Cells: 100000/100000
Timestep: 0-5600, Program time: 1376.78 s, Sim. time: 16795.1 s, Active/Total Cells: 100000/100000
Timestep: 0-5700, Program time: 1401.21 s, Sim. time: 17095.1 s, Active/Total Cells: 100000/100000
Timestep: 0-5800, Program time: 1425.62 s, Sim. time: 17395.1 s, Active/Total Cells: 100000/100000
Timestep: 0-5900, Program time: 1449.94 s, Sim. time: 17695.1 s, Active/Total Cells: 100000/100000
Timestep: 0-5928, Program time: 1456.76 s, Sim. time: 17778.7 s, Active/Total Cells: 100000/100000
Timestep: 0-6000, Program time: 1474.77 s, Sim. time: 17994.7 s, Active/Total Cells: 100000/100000
Timestep: 0-6100, Program time: 1498.44 s, Sim. time: 18294.7 s, Active/Total Cells: 100000/100000
Timestep: 0-6200, Program time: 1522.69 s, Sim. time: 18594.7 s, Active/Total Cells: 100000/100000
Timestep: 0-6300, Program time: 1546.68 s, Sim. time: 18894.7 s, Active/Total Cells: 100000/100000
Timestep: 0-6400, Program time: 1570.55 s, Sim. time: 19194.7 s, Active/Total Cells: 100000/100000
Timestep: 0-6422, Program time: 1576 s, Sim. time: 19260.2 s, Active/Total Cells: 100000/100000
Timestep: 0-6500, Program time: 1595.19 s, Sim. time: 19494.2 s, Active/Total Cells: 100000/100000
Timestep: 0-6600, Program time: 1619.55 s, Sim. time: 19794.2 s, Active/Total Cells: 100000/100000
Timestep: 0-6700, Program time: 1644.14 s, Sim. time: 20094.2 s, Active/Total Cells: 100000/100000
Timestep: 0-6800, Program time: 1668.07 s, Sim. time: 20394.2 s, Active/Total Cells: 100000/100000
Timestep: 0-6900, Program time: 1692.32 s, Sim. time: 20694.2 s, Active/Total Cells: 100000/100000
Timestep: 0-6916, Program time: 1696.31 s, Sim. time: 20741.8 s, Active/Total Cells: 100000/100000
Timestep: 0-7000, Program time: 1717.88 s, Sim. time: 20993.8 s, Active/Total Cells: 100000/100000
Timestep: 0-7100, Program time: 1742.63 s, Sim. time: 21293.8 s, Active/Total Cells: 100000/100000
