Timestep: 0-0, Program time: 1.875e-06 s, Sim. time: 0 s, Active/Total Cells: 100000/100000
Timestep: 0-100, Program time: 18.7212 s, Sim. time: 300 s, Active/Total Cells: 100000/100000
Timestep: 0-200, Program time: 36.8562 s, Sim. time: 600 s, Active/Total Cells: 100000/100000
Timestep: 0-300, Program time: 54.7977 s, Sim. time: 900 s, Active/Total Cells: 100000/100000
Timestep: 0-400, Program time: 72.8169 s, Sim. time: 1200 s, Active/Total Cells: 100000/100000
Timestep: 0-494, Program time: 89.9203 s, Sim. time: 1481.56 s, Active/Total Cells: 100000/100000
Timestep: 0-500, Program time: 91.3934 s, Sim. time: 1499.56 s, Active/Total Cells: 100000/100000
Timestep: 0-600, Program time: 109.591 s, Sim. time: 1799.56 s, Active/Total Cells: 100000/100000
Timestep: 0-700, Program time: 127.607 s, Sim. time: 2099.56 s, Active/Total Cells: 100000/100000
Timestep: 0-800, Program time: 145.649 s, Sim. time: 2399.56 s, Active/Total Cells: 100000/100000
Timestep: 0-900, Program time: 163.719 s, Sim. time: 2699.56 s, Active/Total Cells: 100000/100000
Timestep: 0-988, Program time: 179.672 s, Sim. time: 2963.11 s, Active/Total Cells: 100000/100000
Timestep: 0-1000, Program time: 182.337 s, Sim. time: 2999.11 s, Active/Total Cells: 100000/100000
Timestep: 0-1100, Program time: 200.483 s, Sim. time: 3299.11 s, Active/Total Cells: 100000/100000
Timestep: 0-1200, Program time: 218.713 s, Sim. time: 3599.11 s, Active/Total Cells: 100000/100000
Timestep: 0-1300, Program time: 237.078 s, Sim. time: 3899.11 s, Active/Total Cells: 100000/100000
Timestep: 0-1400, Program time: 255.269 s, Sim. time: 4199.11 s, Active/Total Cells: 100000/100000
Timestep: 0-1482, Program time: 270.373 s, Sim. time: 4444.66 s, Active/Total Cells: 100000/100000
Timestep: 0-1500, Program time: 273.977 s, Sim. time: 4498.66 s, Active/Total Cells: 100000/100000
Timestep: 0-1600, Program time: 292.131 s, Sim. time: 4798.66 s, Active/Total Cells: 100000/100000
Timestep: 0-1700, Program time: 310.326 s, Sim. time: 5098.66 s, Active/Total Cells: 100000/100000
Timestep: 0-1800, Program time: 328.489 s, Sim. time: 5398.66 s, Active/Total Cells: 100000/100000
Timestep: 0-1900, Program time: 346.682 s, Sim. time: 5698.66 s, Active/Total Cells: 100000/100000
Timestep: 0-1976, Program time: 360.542 s, Sim. time: 5926.22 s, Active/Total Cells: 100000/100000
Timestep: 0-2000, Program time: 365.328 s, Sim. time: 5998.22 s, Active/Total Cells: 100000/100000
Timestep: 0-2100, Program time: 383.369 s, Sim. time: 6298.22 s, Active/Total Cells: 100000/100000
Timestep: 0-2200, Program time: 401.631 s, Sim. time: 6598.22 s, Active/Total Cells: 100000/100000
Timestep: 0-2300, Program time: 419.697 s, Sim. time: 6898.22 s, Active/Total Cells: 100000/100000
Timestep: 0-2400, Program time: 437.757 s, Sim. time: 7198.22 s, Active/Total Cells: 100000/100000
Timestep: 0-2470, Program time: 450.714 s, Sim. time: 7407.78 s, Active/Total Cells: 100000/100000
Timestep: 0-2500, Program time: 456.429 s, Sim. time: 7497.78 s, Active/Total Cells: 100000/100000
Timestep: 0-2600, Program time: 474.444 s, Sim. time: 7797.78 s, Active/Total Cells: 100000/100000
Timestep: 0-2700, Program time: 492.461 s, Sim. time: 8097.78 s, Active/Total Cells: 100000/100000
Timestep: 0-2800, Program time: 510.539 s, Sim. time: 8397.78 s, Active/Total Cells: 100000/100000
Timestep: 0-2900, Program time: 528.693 s, Sim. time: 8697.78 s, Active/Total Cells: 100000/100000
Timestep: 0-2964, Program time: 540.534 s, Sim. time: 8889.33 s, Active/Total Cells: 100000/100000
Timestep: 0-3000, Program time: 547.472 s, Sim. time: 8997.33 s, Active/Total Cells: 100000/100000
Timestep: 0-3100, Program time: 565.691 s, Sim. time: 9297.33 s, Active/Total Cells: 100000/100000
Timestep: 0-3200, Program time: 583.679 s, Sim. time: 9597.33 s, Active/Total Cells: 100000/100000
Timestep: 0-3300, Program time: 601.69 s, Sim. time: 9897.33 s, Active/Total Cells: 100000/100000
Timestep: 0-3400, Program time: 619.882 s, Sim. time: 10197.3 s, Active/Total Cells: 100000/100000
Timestep: 0-3458, Program time: 630.409 s, Sim. time: 10370.9 s, Active/Total Cells: 100000/100000
Timestep: 0-3500, Program time: 638.504 s, Sim. time: 10496.9 s, Active/Total Cells: 100000/100000
Timestep: 0-3600, Program time: 656.544 s, Sim. time: 10796.9 s, Active/Total Cells: 100000/100000
Timestep: 0-3700, Program time: 674.648 s, Sim. time: 11096.9 s, Active/Total Cells: 100000/100000
Timestep: 0-3800, Program time: 692.741 s, Sim. time: 11396.9 s, Active/Total Cells: 100000/100000
Timestep: 0-3900, Program time: 710.876 s, Sim. time: 11696.9 s, Active/Total Cells: 100000/100000
Timestep: 0-3952, Program time: 720.485 s, Sim. time: 11852.4 s, Active/Total Cells: 100000/100000
Timestep: 0-4000, Program time: 729.494 s, Sim. time: 11996.4 s, Active/Total Cells: 100000/100000
Timestep: 0-4100, Program time: 747.556 s, Sim. time: 12296.4 s, Active/Total Cells: 100000/100000
Timestep: 0-4200, Program time: 765.684 s, Sim. time: 12596.4 s, Active/Total Cells: 100000/100000
Timestep: 0-4300, Program time: 783.902 s, Sim. time: 12896.4 s, Active/Total Cells: 100000/100000
Timestep: 0-4400, Program time: 802.168 s, Sim. time: 13196.4 s, Active/Total Cells: 100000/100000
Timestep: 0-4446, Program time: 810.68 s, Sim. time: 13334 s, Active/Total Cells: 100000/100000
Timestep: 0-4500, Program time: 820.884 s, Sim. time: 13496 s, Active/Total Cells: 100000/100000
Timestep: 0-4600, Program time: 839.073 s, Sim. time: 13796 s, Active/Total Cells: 100000/100000
Timestep: 0-4700, Program time: 857.226 s, Sim. time: 14096 s, Active/Total Cells: 100000/100000
Timestep: 0-4800, Program time: 875.387 s, Sim. time: 14396 s, Active/Total Cells: 100000/100000
Timestep: 0-4900, Program time: 893.5 s, Sim. time: 14696 s, Active/Total Cells: 100000/100000
Timestep: 0-4940, Program time: 901.054 s, Sim. time: 14815.6 s, Active/Total Cells: 100000/100000
Timestep: 0-5000, Program time: 912.209 s, Sim. time: 14995.6 s, Active/Total Cells: 100000/100000
Timestep: 0-5100, Program time: 930.399 s, Sim. time: 15295.6 s, Active/Total Cells: 100000/100000
Timestep: 0-5200, Program time: 948.672 s, Sim. time: 15595.6 s, Active/Total Cells: 100000/100000
Timestep: 0-5300, Program time: 966.801 s, Sim. time: 15895.6 s, Active/Total Cells: 100000/100000
Timestep: 0-5400, Program time: 984.964 s, Sim. time: 16195.6 s, Active/Total Cells: 100000/100000
Timestep: 0-5434, Program time: 991.263 s, Sim. time: 16297.1 s, Active/Total Cells: 100000/100000
Timestep: 0-5500, Program time: 1003.57 s, Sim. time: 16495.1 s, Active/Total Cells: 100000/100000
Timestep: 0-5600, Program time: 1021.61 s, Sim. time: 16795.1 s, Active/Total Cells: 100000/100000
Timestep: 0-5700, Program time: 1039.67 s, Sim. time: 17095.1 s, Active/Total Cells: 100000/100000
Timestep: 0-5800, Program time: 1057.73 s, Sim. time: 17395.1 s, Active/Total Cells: 100000/100000
Timestep: 0-5900, Program time: 1075.8 s, Sim. time: 17695.1 s, Active/Total Cells: 100000/100000
Timestep: 0-5928, Program time: 1080.92 s, Sim. time: 17778.7 s, Active/Total Cells: 100000/100000
Timestep: 0-6000, Program time: 1094.45 s, Sim. time: 17994.7 s, Active/Total Cells: 100000/100000
Timestep: 0-6100, Program time: 1112.52 s, Sim. time: 18294.7 s, Active/Total Cells: 100000/100000
Timestep: 0-6200, Program time: 1130.61 s, Sim. time: 18594.7 s, Active/Total Cells: 100000/100000
Timestep: 0-6300, Program time: 1148.7 s, Sim. time: 18894.7 s, Active/Total Cells: 100000/100000
Timestep: 0-6400, Program time: 1166.75 s, Sim. time: 19194.7 s, Active/Total Cells: 100000/100000
Timestep: 0-6422, Program time: 1170.97 s, Sim. time: 19260.2 s, Active/Total Cells: 100000/100000
Timestep: 0-6500, Program time: 1185.36 s, Sim. time: 19494.2 s, Active/Total Cells: 100000/100000
Timestep: 0-6600, Program time: 1203.57 s, Sim. time: 19794.2 s, Active/Total Cells: 100000/100000
Timestep: 0-6700, Program time: 1221.75 s, Sim. time: 20094.2 s, Active/Total Cells: 100000/100000
Timestep: 0-6800, Program time: 1239.89 s, Sim. time: 20394.2 s, Active/Total Cells: 100000/100000
Timestep: 0-6900, Program time: 1258.07 s, Sim. time: 20694.2 s, Active/Total Cells: 100000/100000
Timestep: 0-6916, Program time: 1261.06 s, Sim. time: 20741.8 s, Active/Total Cells: 100000/100000
Timestep: 0-7000, Program time: 1276.68 s, Sim. time: 20993.8 s, Active/Total Cells: 100000/100000
Timestep: 0-7100, Program time: 1294.82 s, Sim. time: 21293.8 s, Active/Total Cells: 100000/100000
Timestep: 0-7200, Program time: 1312.85 s, Sim. time: 21593.8 s, Active/Total Cells: 100000/100000
Timestep: 0-7300, Program time: 1331.21 s, Sim. time: 21893.8 s, Active/Total Cells: 100000/100000
Timestep: 0-7400, Program time: 1349.23 s, Sim. time: 22193.8 s, Active/Total Cells: 100000/100000
Timestep: 0-7410, Program time: 1351.3 s, Sim. time: 22223.3 s, Active/Total Cells: 100000/100000
Timestep: 0-7500, Program time: 1367.79 s, Sim. time: 22493.3 s, Active/Total Cells: 100000/100000
Timestep: 0-7600, Program time: 1385.79 s, Sim. time: 22793.3 s, Active/Total Cells: 100000/100000
Timestep: 0-7700, Program time: 1403.82 s, Sim. time: 23093.3 s, Active/Total Cells: 100000/100000
Timestep: 0-7800, Program time: 1421.93 s, Sim. time: 23393.3 s, Active/Total Cells: 100000/100000
Timestep: 0-7900, Program time: 1439.99 s, Sim. time: 23693.3 s, Active/Total Cells: 100000/100000
Timestep: 0-7904, Program time: 1440.88 s, Sim. time: 23704.9 s, Active/Total Cells: 100000/100000
Timestep: 0-8000, Program time: 1458.6 s, Sim. time: 23992.9 s, Active/Total Cells: 100000/100000
Timestep: 0-8100, Program time: 1476.65 s, Sim. time: 24292.9 s, Active/Total Cells: 100000/100000
Timestep: 0-8200, Program time: 1494.83 s, Sim. time: 24592.9 s, Active/Total Cells: 100000/100000
Timestep: 0-8300, Program time: 1512.82 s, Sim. time: 24892.9 s, Active/Total Cells: 100000/100000
Timestep: 0-8398, Program time: 1530.59 s, Sim. time: 25186.4 s, Active/Total Cells: 100000/100000
Timestep: 0-8400, Program time: 1531.47 s, Sim. time: 25192.4 s, Active/Total Cells: 100000/100000
Timestep: 0-8500, Program time: 1549.48 s, Sim. time: 25492.4 s, Active/Total Cells: 100000/100000
Timestep: 0-8600, Program time: 1567.48 s, Sim. time: 25792.4 s, Active/Total Cells: 100000/100000
Timestep: 0-8700, Program time: 1585.52 s, Sim. time: 26092.4 s, Active/Total Cells: 100000/100000
Timestep: 0-8800, Program time: 1603.64 s, Sim. time: 26392.4 s, Active/Total Cells: 100000/100000
Timestep: 0-8892, Program time: 1620.58 s, Sim. time: 26668 s, Active/Total Cells: 100000/100000
Timestep: 0-8900, Program time: 1622.38 s, Sim. time: 26692 s, Active/Total Cells: 100000/100000
Timestep: 0-9000, Program time: 1640.81 s, Sim. time: 26992 s, Active/Total Cells: 100000/100000
Timestep: 0-9100, Program time: 1659.01 s, Sim. time: 27292 s, Active/Total Cells: 100000/100000
Timestep: 0-9200, Program time: 1677.05 s, Sim. time: 27592 s, Active/Total Cells: 100000/100000
Timestep: 0-9300, Program time: 1695.16 s, Sim. time: 27892 s, Active/Total Cells: 100000/100000
Timestep: 0-9386, Program time: 1710.95 s, Sim. time: 28149.5 s, Active/Total Cells: 100000/100000
Timestep: 0-9400, Program time: 1713.93 s, Sim. time: 28191.5 s, Active/Total Cells: 100000/100000
Timestep: 0-9500, Program time: 1732.01 s, Sim. time: 28491.5 s, Active/Total Cells: 100000/100000
Timestep: 0-9600, Program time: 1750.01 s, Sim. time: 28791.5 s, Active/Total Cells: 100000/100000
Timestep: 0-9700, Program time: 1768.03 s, Sim. time: 29091.5 s, Active/Total Cells: 100000/100000
Timestep: 0-9800, Program time: 1786 s, Sim. time: 29391.5 s, Active/Total Cells: 100000/100000
Timestep: 0-9880, Program time: 1800.72 s, Sim. time: 29631.1 s, Active/Total Cells: 100000/100000
Timestep: 0-9900, Program time: 1804.73 s, Sim. time: 29691.1 s, Active/Total Cells: 100000/100000
Timestep: 0-10000, Program time: 1822.84 s, Sim. time: 29991.1 s, Active/Total Cells: 100000/100000
Timestep: 0-10100, Program time: 1840.99 s, Sim. time: 30291.1 s, Active/Total Cells: 100000/100000
Timestep: 0-10200, Program time: 1859.07 s, Sim. time: 30591.1 s, Active/Total Cells: 100000/100000
Timestep: 0-10300, Program time: 1877.13 s, Sim. time: 30891.1 s, Active/Total Cells: 100000/100000
Timestep: 0-10374, Program time: 1890.7 s, Sim. time: 31112.7 s, Active/Total Cells: 100000/100000
Timestep: 0-10400, Program time: 1895.79 s, Sim. time: 31190.7 s, Active/Total Cells: 100000/100000
Timestep: 0-10500, Program time: 1914 s, Sim. time: 31490.7 s, Active/Total Cells: 100000/100000
Timestep: 0-10600, Program time: 1932.55 s, Sim. time: 31790.7 s, Active/Total Cells: 100000/100000
Timestep: 0-10700, Program time: 1951.19 s, Sim. time: 32090.7 s, Active/Total Cells: 100000/100000
Timestep: 0-10800, Program time: 1969.51 s, Sim. time: 32390.7 s, Active/Total Cells: 100000/100000
Timestep: 0-10868, Program time: 1982.19 s, Sim. time: 32594.2 s, Active/Total Cells: 100000/100000
Timestep: 0-10900, Program time: 1988.6 s, Sim. time: 32690.2 s, Active/Total Cells: 100000/100000
Timestep: 0-11000, Program time: 2006.89 s, Sim. time: 32990.2 s, Active/Total Cells: 100000/100000
Timestep: 0-11100, Program time: 2025.32 s, Sim. time: 33290.2 s, Active/Total Cells: 100000/100000
Timestep: 0-11200, Program time: 2043.44 s, Sim. time: 33590.2 s, Active/Total Cells: 100000/100000
Timestep: 0-11300, Program time: 2061.46 s, Sim. time: 33890.2 s, Active/Total Cells: 100000/100000
Timestep: 0-11362, Program time: 2072.85 s, Sim. time: 34075.8 s, Active/Total Cells: 100000/100000
Timestep: 0-11400, Program time: 2080.03 s, Sim. time: 34189.8 s, Active/Total Cells: 100000/100000
Timestep: 0-11500, Program time: 2098.17 s, Sim. time: 34489.8 s, Active/Total Cells: 100000/100000
Timestep: 0-11600, Program time: 2116.19 s, Sim. time: 34789.8 s, Active/Total Cells: 100000/100000
Timestep: 0-11700, Program time: 2134.32 s, Sim. time: 35089.8 s, Active/Total Cells: 100000/100000
Timestep: 0-11800, Program time: 2152.27 s, Sim. time: 35389.8 s, Active/Total Cells: 100000/100000
Timestep: 0-11856, Program time: 2162.51 s, Sim. time: 35557.3 s, Active/Total Cells: 100000/100000
