Program time: 0.148959 s, Sim. time: 0 s, Particles: 100000
Program time: 85.2083 s, Sim. time: 634.42 s, Particles: 100000
Program time: 169.537 s, Sim. time: 1268.84 s, Particles: 100000
Program time: 253.392 s, Sim. time: 1903.26 s, Particles: 100000
Program time: 337.192 s, Sim. time: 2537.68 s, Particles: 100000
Program time: 421.715 s, Sim. time: 3172.1 s, Particles: 100000
Program time: 506.167 s, Sim. time: 3806.52 s, Particles: 100000
Program time: 590 s, Sim. time: 4440.94 s, Particles: 100000
Program time: 673.795 s, Sim. time: 5075.36 s, Particles: 100000
Program time: 757.81 s, Sim. time: 5709.78 s, Particles: 100000
Program time: 842.158 s, Sim. time: 6344.2 s, Particles: 100000
Program time: 926.014 s, Sim. time: 6978.62 s, Particles: 100000
Program time: 1009.94 s, Sim. time: 7613.03 s, Particles: 100000
Program time: 1093.36 s, Sim. time: 8247.45 s, Particles: 100000
Program time: 1177.45 s, Sim. time: 8881.87 s, Particles: 100000
Program time: 1261.19 s, Sim. time: 9516.29 s, Particles: 100000
Program time: 1344.96 s, Sim. time: 10150.7 s, Particles: 100000
Program time: 1428.01 s, Sim. time: 10785.1 s, Particles: 100000
Program time: 1510.85 s, Sim. time: 11419.6 s, Particles: 100000
Program time: 1594.88 s, Sim. time: 12054 s, Particles: 100000
Program time: 1678.95 s, Sim. time: 12688.4 s, Particles: 100000
Program time: 1763.04 s, Sim. time: 13322.8 s, Particles: 100000
Program time: 1846.59 s, Sim. time: 13957.2 s, Particles: 100000
Program time: 1930.75 s, Sim. time: 14591.7 s, Particles: 100000
Program time: 2013.81 s, Sim. time: 15226.1 s, Particles: 100000
Program time: 2096.94 s, Sim. time: 15860.5 s, Particles: 100000
Program time: 2179.83 s, Sim. time: 16494.9 s, Particles: 100000
Program time: 2262.39 s, Sim. time: 17129.3 s, Particles: 100000
Program time: 2345.58 s, Sim. time: 17763.7 s, Particles: 100000
Program time: 2428.54 s, Sim. time: 18398.2 s, Particles: 100000
Program time: 2511.62 s, Sim. time: 19032.6 s, Particles: 100000
Program time: 2594.51 s, Sim. time: 19667 s, Particles: 100000
Program time: 2677.22 s, Sim. time: 20301.4 s, Particles: 100000
Program time: 2759.99 s, Sim. time: 20935.8 s, Particles: 100000
Program time: 2843 s, Sim. time: 21570.3 s, Particles: 100000
Program time: 2927.4 s, Sim. time: 22204.7 s, Particles: 100000
Program time: 3011.49 s, Sim. time: 22839.1 s, Particles: 100000
Program time: 3097.04 s, Sim. time: 23473.5 s, Particles: 100000
Program time: 3182.04 s, Sim. time: 24107.9 s, Particles: 100000
Program time: 3267.31 s, Sim. time: 24742.4 s, Particles: 100000
Program time: 3352.03 s, Sim. time: 25376.8 s, Particles: 100000
Program time: 3436.21 s, Sim. time: 26011.2 s, Particles: 100000
Program time: 3520.94 s, Sim. time: 26645.6 s, Particles: 100000
Program time: 3605.35 s, Sim. time: 27280 s, Particles: 100000
Program time: 3692.62 s, Sim. time: 27914.5 s, Particles: 100000
Program time: 3777.48 s, Sim. time: 28548.9 s, Particles: 100000
Program time: 3862.02 s, Sim. time: 29183.3 s, Particles: 100000
Program time: 3946.32 s, Sim. time: 29817.7 s, Particles: 100000
Program time: 4030.13 s, Sim. time: 30452.1 s, Particles: 100000
