Program time: 0.15069 s, Sim. time: 0 s, Particles: 100000
Program time: 330.878 s, Sim. time: 2537.68 s, Particles: 100000
Program time: 659.342 s, Sim. time: 5075.36 s, Particles: 100000
Program time: 987.806 s, Sim. time: 7613.03 s, Particles: 100000
Program time: 1316.15 s, Sim. time: 10150.7 s, Particles: 100000
Program time: 1648.76 s, Sim. time: 12688.4 s, Particles: 100000
Program time: 1982.57 s, Sim. time: 15226.1 s, Particles: 100000
Program time: 2318.21 s, Sim. time: 17763.7 s, Particles: 100000
Program time: 2653.06 s, Sim. time: 20301.4 s, Particles: 100000
Program time: 2990.66 s, Sim. time: 22839.1 s, Particles: 100000
Program time: 3324.57 s, Sim. time: 25376.8 s, Particles: 100000
Program time: 3661.74 s, Sim. time: 27914.5 s, Particles: 100000
Program time: 3997.2 s, Sim. time: 30452.1 s, Particles: 100000
Program time: 4332.66 s, Sim. time: 32989.8 s, Particles: 100000
Program time: 4668.98 s, Sim. time: 35527.5 s, Particles: 100000
Program time: 5006 s, Sim. time: 38065.2 s, Particles: 100000
Program time: 5342.07 s, Sim. time: 40602.9 s, Particles: 100000
Program time: 5678.48 s, Sim. time: 43140.5 s, Particles: 100000
Program time: 6018.02 s, Sim. time: 45678.2 s, Particles: 100000
Program time: 6354.94 s, Sim. time: 48215.9 s, Particles: 100000
Program time: 6690.86 s, Sim. time: 50753.6 s, Particles: 100000
Program time: 7028.82 s, Sim. time: 53291.2 s, Particles: 100000
Program time: 7362.3 s, Sim. time: 55828.9 s, Particles: 100000
Program time: 7696.84 s, Sim. time: 58366.6 s, Particles: 100000
Program time: 8032.25 s, Sim. time: 60904.3 s, Particles: 100000
