Program time: 4.2e-08 s, Sim. time: 0 s
Program time: 0.0360851 s, Sim. time: 1481.56 s
Program time: 0.071467 s, Sim. time: 2963.11 s
Program time: 0.107934 s, Sim. time: 4444.66 s
Program time: 0.144167 s, Sim. time: 5926.22 s
Program time: 0.179473 s, Sim. time: 7407.78 s
Program time: 0.215365 s, Sim. time: 8889.33 s
Program time: 0.251959 s, Sim. time: 10370.9 s
Program time: 0.28855 s, Sim. time: 11852.4 s
Program time: 0.324317 s, Sim. time: 13334 s
Program time: 0.359868 s, Sim. time: 14815.6 s
Program time: 0.396654 s, Sim. time: 16297.1 s
Program time: 0.432131 s, Sim. time: 17778.7 s
Program time: 0.467837 s, Sim. time: 19260.2 s
Program time: 0.503089 s, Sim. time: 20741.8 s
Program time: 0.539395 s, Sim. time: 22223.3 s
Program time: 0.574886 s, Sim. time: 23704.9 s
Program time: 0.609241 s, Sim. time: 25186.4 s
Program time: 0.644432 s, Sim. time: 26668 s
Program time: 0.680802 s, Sim. time: 28149.5 s
Program time: 0.716795 s, Sim. time: 29631.1 s
Program time: 0.751483 s, Sim. time: 31112.7 s
Program time: 0.786445 s, Sim. time: 32594.2 s
Program time: 0.822815 s, Sim. time: 34075.8 s
Program time: 0.85812 s, Sim. time: 35557.3 s
