Program time: 0 s, Sim. time: 0 s
Program time: 0.0267668 s, Sim. time: 1481.56 s
Program time: 0.0531758 s, Sim. time: 2963.11 s
Program time: 0.0799041 s, Sim. time: 4444.66 s
Program time: 0.106611 s, Sim. time: 5926.22 s
Program time: 0.133469 s, Sim. time: 7407.78 s
Program time: 0.160283 s, Sim. time: 8889.33 s
Program time: 0.186631 s, Sim. time: 10370.9 s
Program time: 0.21281 s, Sim. time: 11852.4 s
Program time: 0.239238 s, Sim. time: 13334 s
Program time: 0.26617 s, Sim. time: 14815.6 s
Program time: 0.292257 s, Sim. time: 16297.1 s
Program time: 0.318981 s, Sim. time: 17778.7 s
Program time: 0.345649 s, Sim. time: 19260.2 s
Program time: 0.372027 s, Sim. time: 20741.8 s
Program time: 0.398631 s, Sim. time: 22223.3 s
Program time: 0.425171 s, Sim. time: 23704.9 s
Program time: 0.451575 s, Sim. time: 25186.4 s
Program time: 0.478569 s, Sim. time: 26668 s
Program time: 0.504795 s, Sim. time: 28149.5 s
Program time: 0.530963 s, Sim. time: 29631.1 s
Program time: 0.557507 s, Sim. time: 31112.7 s
Program time: 0.584203 s, Sim. time: 32594.2 s
Program time: 0.610347 s, Sim. time: 34075.8 s
Program time: 0.636856 s, Sim. time: 35557.3 s
