Program time: 8.3e-08 s, Sim. time: 0 s
Program time: 0.0276597 s, Sim. time: 1481.56 s
Program time: 0.0552431 s, Sim. time: 2963.11 s
Program time: 0.0828696 s, Sim. time: 4444.66 s
Program time: 0.11028 s, Sim. time: 5926.22 s
Program time: 0.138834 s, Sim. time: 7407.78 s
Program time: 0.16693 s, Sim. time: 8889.33 s
Program time: 0.19519 s, Sim. time: 10370.9 s
Program time: 0.222962 s, Sim. time: 11852.4 s
Program time: 0.251555 s, Sim. time: 13334 s
Program time: 0.279885 s, Sim. time: 14815.6 s
Program time: 0.307715 s, Sim. time: 16297.1 s
Program time: 0.335339 s, Sim. time: 17778.7 s
Program time: 0.363856 s, Sim. time: 19260.2 s
Program time: 0.392113 s, Sim. time: 20741.8 s
Program time: 0.419767 s, Sim. time: 22223.3 s
Program time: 0.447566 s, Sim. time: 23704.9 s
Program time: 0.476616 s, Sim. time: 25186.4 s
Program time: 0.504319 s, Sim. time: 26668 s
Program time: 0.531595 s, Sim. time: 28149.5 s
Program time: 0.559035 s, Sim. time: 29631.1 s
Program time: 0.586377 s, Sim. time: 31112.7 s
Program time: 0.613893 s, Sim. time: 32594.2 s
Program time: 0.641632 s, Sim. time: 34075.8 s
Program time: 0.669975 s, Sim. time: 35557.3 s
