Program time: 4.1e-08 s, Sim. time: 0 s
Program time: 0.0160945 s, Sim. time: 634.42 s
Program time: 0.0317824 s, Sim. time: 1268.84 s
Program time: 0.0478417 s, Sim. time: 1903.26 s
Program time: 0.0635575 s, Sim. time: 2537.68 s
Program time: 0.078961 s, Sim. time: 3172.1 s
Program time: 0.0943282 s, Sim. time: 3806.52 s
Program time: 0.110327 s, Sim. time: 4440.94 s
Program time: 0.127455 s, Sim. time: 5075.36 s
Program time: 0.142951 s, Sim. time: 5709.78 s
Program time: 0.158705 s, Sim. time: 6344.2 s
Program time: 0.174322 s, Sim. time: 6978.62 s
Program time: 0.189794 s, Sim. time: 7613.03 s
Program time: 0.204936 s, Sim. time: 8247.45 s
Program time: 0.220162 s, Sim. time: 8881.87 s
Program time: 0.235443 s, Sim. time: 9516.29 s
Program time: 0.250514 s, Sim. time: 10150.7 s
Program time: 0.266601 s, Sim. time: 10785.1 s
Program time: 0.282064 s, Sim. time: 11419.6 s
Program time: 0.297818 s, Sim. time: 12054 s
Program time: 0.313518 s, Sim. time: 12688.4 s
Program time: 0.329614 s, Sim. time: 13322.8 s
Program time: 0.345459 s, Sim. time: 13957.2 s
Program time: 0.361265 s, Sim. time: 14591.7 s
Program time: 0.377614 s, Sim. time: 15226.1 s
Program time: 0.393178 s, Sim. time: 15860.5 s
Program time: 0.408478 s, Sim. time: 16494.9 s
Program time: 0.423972 s, Sim. time: 17129.3 s
Program time: 0.439324 s, Sim. time: 17763.7 s
Program time: 0.454901 s, Sim. time: 18398.2 s
Program time: 0.470106 s, Sim. time: 19032.6 s
Program time: 0.48535 s, Sim. time: 19667 s
Program time: 0.500367 s, Sim. time: 20301.4 s
Program time: 0.516282 s, Sim. time: 20935.8 s
Program time: 0.53147 s, Sim. time: 21570.3 s
Program time: 0.546737 s, Sim. time: 22204.7 s
Program time: 0.56251 s, Sim. time: 22839.1 s
Program time: 0.57814 s, Sim. time: 23473.5 s
Program time: 0.59379 s, Sim. time: 24107.9 s
Program time: 0.609308 s, Sim. time: 24742.4 s
Program time: 0.625465 s, Sim. time: 25376.8 s
Program time: 0.640816 s, Sim. time: 26011.2 s
Program time: 0.656209 s, Sim. time: 26645.6 s
Program time: 0.671511 s, Sim. time: 27280 s
Program time: 0.686614 s, Sim. time: 27914.5 s
Program time: 0.701771 s, Sim. time: 28548.9 s
Program time: 0.716849 s, Sim. time: 29183.3 s
Program time: 0.731705 s, Sim. time: 29817.7 s
Program time: 0.747436 s, Sim. time: 30452.1 s
