Program time: 4.1e-08 s, Sim. time: 0 s
Program time: 0.0624976 s, Sim. time: 2537.68 s
Program time: 0.125352 s, Sim. time: 5075.36 s
Program time: 0.185052 s, Sim. time: 7613.03 s
Program time: 0.244969 s, Sim. time: 10150.7 s
Program time: 0.306579 s, Sim. time: 12688.4 s
Program time: 0.369435 s, Sim. time: 15226.1 s
Program time: 0.429559 s, Sim. time: 17763.7 s
Program time: 0.489473 s, Sim. time: 20301.4 s
Program time: 0.550079 s, Sim. time: 22839.1 s
Program time: 0.612361 s, Sim. time: 25376.8 s
Program time: 0.673154 s, Sim. time: 27914.5 s
Program time: 0.733078 s, Sim. time: 30452.1 s
Program time: 0.794569 s, Sim. time: 32989.8 s
Program time: 0.855127 s, Sim. time: 35527.5 s
Program time: 0.915675 s, Sim. time: 38065.2 s
Program time: 0.976265 s, Sim. time: 40602.9 s
Program time: 1.03727 s, Sim. time: 43140.5 s
Program time: 1.09741 s, Sim. time: 45678.2 s
Program time: 1.1571 s, Sim. time: 48215.9 s
Program time: 1.21774 s, Sim. time: 50753.6 s
Program time: 1.27848 s, Sim. time: 53291.2 s
Program time: 1.3384 s, Sim. time: 55828.9 s
Program time: 1.3994 s, Sim. time: 58366.6 s
Program time: 1.46051 s, Sim. time: 60904.3 s
