Program time: 4.1e-08 s, Sim. time: 0 s
Program time: 0.0143148 s, Sim. time: 634.42 s
Program time: 0.0263125 s, Sim. time: 1268.84 s
Program time: 0.038495 s, Sim. time: 1903.26 s
Program time: 0.05072 s, Sim. time: 2537.68 s
Program time: 0.0632929 s, Sim. time: 3172.1 s
Program time: 0.0755916 s, Sim. time: 3806.52 s
Program time: 0.087843 s, Sim. time: 4440.94 s
Program time: 0.0999035 s, Sim. time: 5075.36 s
Program time: 0.112155 s, Sim. time: 5709.78 s
Program time: 0.123915 s, Sim. time: 6344.2 s
Program time: 0.13598 s, Sim. time: 6978.62 s
Program time: 0.148089 s, Sim. time: 7613.03 s
Program time: 0.160187 s, Sim. time: 8247.45 s
Program time: 0.172338 s, Sim. time: 8881.87 s
Program time: 0.184582 s, Sim. time: 9516.29 s
Program time: 0.197084 s, Sim. time: 10150.7 s
Program time: 0.209644 s, Sim. time: 10785.1 s
Program time: 0.22197 s, Sim. time: 11419.6 s
Program time: 0.234082 s, Sim. time: 12054 s
Program time: 0.246113 s, Sim. time: 12688.4 s
Program time: 0.258418 s, Sim. time: 13322.8 s
Program time: 0.270191 s, Sim. time: 13957.2 s
Program time: 0.282206 s, Sim. time: 14591.7 s
Program time: 0.294203 s, Sim. time: 15226.1 s
Program time: 0.305914 s, Sim. time: 15860.5 s
Program time: 0.317869 s, Sim. time: 16494.9 s
Program time: 0.32985 s, Sim. time: 17129.3 s
Program time: 0.341636 s, Sim. time: 17763.7 s
Program time: 0.353375 s, Sim. time: 18398.2 s
Program time: 0.365143 s, Sim. time: 19032.6 s
Program time: 0.376938 s, Sim. time: 19667 s
Program time: 0.388732 s, Sim. time: 20301.4 s
Program time: 0.400526 s, Sim. time: 20935.8 s
Program time: 0.412493 s, Sim. time: 21570.3 s
Program time: 0.424673 s, Sim. time: 22204.7 s
Program time: 0.436471 s, Sim. time: 22839.1 s
Program time: 0.448207 s, Sim. time: 23473.5 s
Program time: 0.460266 s, Sim. time: 24107.9 s
Program time: 0.472355 s, Sim. time: 24742.4 s
Program time: 0.483921 s, Sim. time: 25376.8 s
Program time: 0.495893 s, Sim. time: 26011.2 s
Program time: 0.508008 s, Sim. time: 26645.6 s
Program time: 0.520257 s, Sim. time: 27280 s
Program time: 0.532374 s, Sim. time: 27914.5 s
Program time: 0.544395 s, Sim. time: 28548.9 s
Program time: 0.556509 s, Sim. time: 29183.3 s
Program time: 0.568634 s, Sim. time: 29817.7 s
Program time: 0.582244 s, Sim. time: 30452.1 s
