Program time: 4.2e-08 s, Sim. time: 0 s
Program time: 0.0483718 s, Sim. time: 2537.68 s
Program time: 0.0966977 s, Sim. time: 5075.36 s
Program time: 0.145997 s, Sim. time: 7613.03 s
Program time: 0.194487 s, Sim. time: 10150.7 s
Program time: 0.243088 s, Sim. time: 12688.4 s
Program time: 0.292491 s, Sim. time: 15226.1 s
Program time: 0.340757 s, Sim. time: 17763.7 s
Program time: 0.388062 s, Sim. time: 20301.4 s
Program time: 0.436719 s, Sim. time: 22839.1 s
Program time: 0.485761 s, Sim. time: 25376.8 s
Program time: 0.534115 s, Sim. time: 27914.5 s
Program time: 0.582062 s, Sim. time: 30452.1 s
Program time: 0.630164 s, Sim. time: 32989.8 s
Program time: 0.678209 s, Sim. time: 35527.5 s
Program time: 0.727675 s, Sim. time: 38065.2 s
Program time: 0.775717 s, Sim. time: 40602.9 s
Program time: 0.823831 s, Sim. time: 43140.5 s
Program time: 0.872533 s, Sim. time: 45678.2 s
Program time: 0.920746 s, Sim. time: 48215.9 s
Program time: 0.968832 s, Sim. time: 50753.6 s
Program time: 1.01659 s, Sim. time: 53291.2 s
Program time: 1.06527 s, Sim. time: 55828.9 s
Program time: 1.11347 s, Sim. time: 58366.6 s
Program time: 1.1625 s, Sim. time: 60904.3 s
