Timestep: 0-0, Program time: 4.1e-08 s, Sim. time: 0 TU, Active/Total Cells: 2321/2402, Max key %: 1.30104e-14%
Timestep: 0-100, Program time: 1.98125 s, Sim. time: 0.138439 TU, Active/Total Cells: 8770/14043, Max key %: 3.82673e-09%
Timestep: 0-200, Program time: 7.41687 s, Sim. time: 0.264331 TU, Active/Total Cells: 19284/30144, Max key %: 4.33275e-08%
Timestep: 0-300, Program time: 17.4201 s, Sim. time: 0.383122 TU, Active/Total Cells: 32377/49878, Max key %: 1.73554e-07%
Timestep: 0-400, Program time: 32.6243 s, Sim. time: 0.49744 TU, Active/Total Cells: 47218/71588, Max key %: 4.50751e-07%
Timestep: 0-500, Program time: 53.2857 s, Sim. time: 0.608981 TU, Active/Total Cells: 63263/94607, Max key %: 9.26526e-07%
Timestep: 0-581, Program time: 73.0295 s, Sim. time: 0.698118 TU, Active/Total Cells: 76774/117842, Max key %: 1.48102e-06%
Timestep: 0-600, Program time: 78.3954 s, Sim. time: 0.719015 TU, Active/Total Cells: 80139/118039, Max key %: 1.61653e-06%
Timestep: 0-700, Program time: 110.263 s, Sim. time: 0.829178 TU, Active/Total Cells: 97425/140954, Max key %: 2.58461e-06%
Timestep: 0-800, Program time: 148.889 s, Sim. time: 0.940792 TU, Active/Total Cells: 114154/163008, Max key %: 3.76584e-06%
Timestep: 0-900, Program time: 192.087 s, Sim. time: 1.05548 TU, Active/Total Cells: 129723/184472, Max key %: 5.14322e-06%
Timestep: 0-1000, Program time: 239.864 s, Sim. time: 1.17541 TU, Active/Total Cells: 143512/206061, Max key %: 6.61256e-06%
Timestep: 0-1100, Program time: 298.309 s, Sim. time: 1.30386 TU, Active/Total Cells: 160877/238225, Max key %: 8.1383e-06%
Timestep: 0-1167, Program time: 339.568 s, Sim. time: 1.39624 TU, Active/Total Cells: 184094/341208, Max key %: 9.12052e-06%
Timestep: 0-1200, Program time: 367.365 s, Sim. time: 1.44504 TU, Active/Total Cells: 201020/301658, Max key %: 9.51102e-06%
Timestep: 0-1300, Program time: 462.645 s, Sim. time: 1.60551 TU, Active/Total Cells: 265600/391153, Max key %: 1.04704e-05%
Timestep: 0-1400, Program time: 591.39 s, Sim. time: 1.75872 TU, Active/Total Cells: 330499/474540, Max key %: 1.07568e-05%
Timestep: 0-1500, Program time: 739.681 s, Sim. time: 1.90083 TU, Active/Total Cells: 385060/545959, Max key %: 1.01183e-05%
Timestep: 0-1600, Program time: 898.71 s, Sim. time: 2.03606 TU, Active/Total Cells: 435770/614226, Max key %: 9.05426e-06%
Timestep: 0-1645, Program time: 976.591 s, Sim. time: 2.09435 TU, Active/Total Cells: 451942/716319, Max key %: 9.50689e-06%
Timestep: 1-0, Program time: 979.174 s, Sim. time: 2.09435 TU, Active/Total Cells: 2066/4084, Max key %: 8.01777e-06%
Timestep: 1-100, Program time: 982.593 s, Sim. time: 2.24129 TU, Active/Total Cells: 18015/27521, Max key %: 9.91007e-06%
Timestep: 1-200, Program time: 990.467 s, Sim. time: 2.3793 TU, Active/Total Cells: 35543/52210, Max key %: 1.11951e-05%
Timestep: 1-300, Program time: 1005 s, Sim. time: 2.51149 TU, Active/Total Cells: 58367/84286, Max key %: 1.19605e-05%
Timestep: 1-400, Program time: 1028.76 s, Sim. time: 2.6387 TU, Active/Total Cells: 89804/128455, Max key %: 1.23571e-05%
Timestep: 1-500, Program time: 1065.94 s, Sim. time: 2.75849 TU, Active/Total Cells: 123122/176924, Max key %: 1.23563e-05%
Timestep: 1-530, Program time: 1080.28 s, Sim. time: 2.79247 TU, Active/Total Cells: 131635/192681, Max key %: 1.24366e-05%
Timestep: 1-600, Program time: 1120.41 s, Sim. time: 2.87025 TU, Active/Total Cells: 148987/219213, Max key %: 1.22751e-05%
Timestep: 1-700, Program time: 1189.4 s, Sim. time: 2.96992 TU, Active/Total Cells: 172795/253563, Max key %: 1.21947e-05%
Timestep: 1-800, Program time: 1270.98 s, Sim. time: 3.06322 TU, Active/Total Cells: 204071/299247, Max key %: 1.23545e-05%
Timestep: 1-900, Program time: 1360.94 s, Sim. time: 3.15617 TU, Active/Total Cells: 229428/343387, Max key %: 1.28443e-05%
Timestep: 1-1000, Program time: 1463.13 s, Sim. time: 3.24711 TU, Active/Total Cells: 254741/383933, Max key %: 1.35204e-05%
Timestep: 1-1100, Program time: 1578.55 s, Sim. time: 3.33815 TU, Active/Total Cells: 285098/431808, Max key %: 1.44026e-05%
Timestep: 1-1200, Program time: 1718.32 s, Sim. time: 3.43438 TU, Active/Total Cells: 321554/484266, Max key %: 1.56131e-05%
Timestep: 1-1255, Program time: 1802.53 s, Sim. time: 3.49059 TU, Active/Total Cells: 342652/592293, Max key %: 1.6595e-05%
Timestep: 1-1300, Program time: 1882.96 s, Sim. time: 3.53811 TU, Active/Total Cells: 372738/551080, Max key %: 1.70005e-05%
Timestep: 1-1400, Program time: 2072.37 s, Sim. time: 3.64977 TU, Active/Total Cells: 437328/637098, Max key %: 1.81538e-05%
Timestep: 1-1500, Program time: 2296.06 s, Sim. time: 3.77347 TU, Active/Total Cells: 494236/711777, Max key %: 1.85879e-05%
Timestep: 1-1600, Program time: 2536.1 s, Sim. time: 3.90065 TU, Active/Total Cells: 532570/761460, Max key %: 1.80481e-05%
Timestep: 1-1700, Program time: 2787.76 s, Sim. time: 4.03015 TU, Active/Total Cells: 554186/789412, Max key %: 1.63981e-05%
Timestep: 1-1800, Program time: 3055.08 s, Sim. time: 4.16289 TU, Active/Total Cells: 565989/804862, Max key %: 1.41384e-05%
Timestep: 1-1820, Program time: 3109.36 s, Sim. time: 4.18871 TU, Active/Total Cells: 567231/819716, Max key %: 1.36119e-05%
Timestep: 2-0, Program time: 3112.33 s, Sim. time: 4.18871 TU, Active/Total Cells: 2074/4063, Max key %: 8.01781e-06%
Timestep: 2-100, Program time: 3115.54 s, Sim. time: 4.34021 TU, Active/Total Cells: 18347/27704, Max key %: 6.94255e-06%
Timestep: 2-200, Program time: 3122.85 s, Sim. time: 4.4916 TU, Active/Total Cells: 35004/50500, Max key %: 8.16504e-06%
Timestep: 2-300, Program time: 3135.58 s, Sim. time: 4.6488 TU, Active/Total Cells: 56202/80814, Max key %: 8.83398e-06%
Timestep: 2-400, Program time: 3160.82 s, Sim. time: 4.8075 TU, Active/Total Cells: 82853/120048, Max key %: 8.71014e-06%
Timestep: 2-455, Program time: 3177.82 s, Sim. time: 4.88683 TU, Active/Total Cells: 95361/161578, Max key %: 8.34501e-06%
Timestep: 2-500, Program time: 3194.65 s, Sim. time: 4.9487 TU, Active/Total Cells: 105060/156056, Max key %: 7.93358e-06%
Timestep: 2-600, Program time: 3238.58 s, Sim. time: 5.07812 TU, Active/Total Cells: 125073/189932, Max key %: 6.84133e-06%
Timestep: 2-700, Program time: 3292.75 s, Sim. time: 5.19917 TU, Active/Total Cells: 150276/226037, Max key %: 5.5504e-06%
Timestep: 2-800, Program time: 3361.63 s, Sim. time: 5.31266 TU, Active/Total Cells: 177253/262054, Max key %: 4.3036e-06%
Timestep: 2-900, Program time: 3443.16 s, Sim. time: 5.421 TU, Active/Total Cells: 200784/293087, Max key %: 3.16226e-06%
Timestep: 2-1000, Program time: 3538.61 s, Sim. time: 5.52612 TU, Active/Total Cells: 220451/319180, Max key %: 2.15403e-06%
Timestep: 2-1057, Program time: 3592.37 s, Sim. time: 5.58494 TU, Active/Total Cells: 229840/368213, Max key %: 1.75166e-06%
Timestep: 2-1100, Program time: 3640.31 s, Sim. time: 5.62928 TU, Active/Total Cells: 236792/340861, Max key %: 1.37723e-06%
Timestep: 2-1200, Program time: 3750.36 s, Sim. time: 5.73228 TU, Active/Total Cells: 250427/359428, Max key %: 8.00833e-07%
Timestep: 2-1300, Program time: 3869.42 s, Sim. time: 5.83598 TU, Active/Total Cells: 262115/375511, Max key %: 4.0858e-07%
Timestep: 2-1400, Program time: 3993.92 s, Sim. time: 5.94168 TU, Active/Total Cells: 272874/391619, Max key %: 1.75148e-07%
Timestep: 2-1500, Program time: 4112.3 s, Sim. time: 6.05106 TU, Active/Total Cells: 282730/407988, Max key %: 5.54043e-08%
Timestep: 2-1600, Program time: 4228.02 s, Sim. time: 6.16604 TU, Active/Total Cells: 293163/426304, Max key %: 9.74915e-09%
Timestep: 2-1695, Program time: 4337.91 s, Sim. time: 6.28306 TU, Active/Total Cells: 308533/493899, Max key %: 4.00084e-09%
