Timestep: 0-0, Program time: 0.124918 s, Sim. time: 0 TU, Active/Total Cells: 451942/451942
Timestep: 0-100, Program time: 28.7177 s, Sim. time: 0.137132 TU, Active/Total Cells: 451942/451942
Timestep: 0-200, Program time: 56.0046 s, Sim. time: 0.263114 TU, Active/Total Cells: 451942/451942
Timestep: 0-300, Program time: 83.1352 s, Sim. time: 0.381959 TU, Active/Total Cells: 451942/451942
Timestep: 0-400, Program time: 110.488 s, Sim. time: 0.49631 TU, Active/Total Cells: 451942/451942
Timestep: 0-500, Program time: 137.799 s, Sim. time: 0.607874 TU, Active/Total Cells: 451942/451942
Timestep: 0-582, Program time: 159.916 s, Sim. time: 0.698118 TU, Active/Total Cells: 451942/451942
Timestep: 0-600, Program time: 166.216 s, Sim. time: 0.722983 TU, Active/Total Cells: 451942/451942
Timestep: 0-700, Program time: 193.623 s, Sim. time: 0.858635 TU, Active/Total Cells: 451942/451942
Timestep: 0-800, Program time: 220.919 s, Sim. time: 0.983055 TU, Active/Total Cells: 451942/451942
Timestep: 0-900, Program time: 248.347 s, Sim. time: 1.10093 TU, Active/Total Cells: 451942/451942
Timestep: 0-1000, Program time: 275.264 s, Sim. time: 1.21466 TU, Active/Total Cells: 451942/451942
Timestep: 0-1100, Program time: 301.969 s, Sim. time: 1.32591 TU, Active/Total Cells: 451942/451942
Timestep: 0-1164, Program time: 320.355 s, Sim. time: 1.39624 TU, Active/Total Cells: 451942/451942
Timestep: 0-1200, Program time: 331.497 s, Sim. time: 1.44669 TU, Active/Total Cells: 451942/451942
Timestep: 0-1300, Program time: 358.919 s, Sim. time: 1.57979 TU, Active/Total Cells: 451942/451942
Timestep: 0-1400, Program time: 386.309 s, Sim. time: 1.70279 TU, Active/Total Cells: 451942/451942
Timestep: 0-1500, Program time: 413.351 s, Sim. time: 1.81978 TU, Active/Total Cells: 451942/451942
Timestep: 0-1600, Program time: 440.722 s, Sim. time: 1.93296 TU, Active/Total Cells: 451942/451942
Timestep: 0-1700, Program time: 468.057 s, Sim. time: 2.04392 TU, Active/Total Cells: 451942/451942
Timestep: 0-1746, Program time: 480.775 s, Sim. time: 2.09435 TU, Active/Total Cells: 451942/451942
Timestep: 1-0, Program time: 483.093 s, Sim. time: 2.09435 TU, Active/Total Cells: 567231/567231
Timestep: 1-100, Program time: 520.408 s, Sim. time: 2.23988 TU, Active/Total Cells: 567231/567231
Timestep: 1-200, Program time: 556.652 s, Sim. time: 2.37795 TU, Active/Total Cells: 567231/567231
Timestep: 1-300, Program time: 592.639 s, Sim. time: 2.51019 TU, Active/Total Cells: 567231/567231
Timestep: 1-400, Program time: 628.667 s, Sim. time: 2.63745 TU, Active/Total Cells: 567231/567231
Timestep: 1-500, Program time: 664.734 s, Sim. time: 2.75733 TU, Active/Total Cells: 567231/567231
Timestep: 1-531, Program time: 676.446 s, Sim. time: 2.79247 TU, Active/Total Cells: 567231/567231
Timestep: 1-600, Program time: 703.595 s, Sim. time: 2.89368 TU, Active/Total Cells: 567231/567231
Timestep: 1-700, Program time: 739.692 s, Sim. time: 3.03399 TU, Active/Total Cells: 567231/567231
Timestep: 1-800, Program time: 776.108 s, Sim. time: 3.16787 TU, Active/Total Cells: 567231/567231
Timestep: 1-900, Program time: 812.668 s, Sim. time: 3.29659 TU, Active/Total Cells: 567231/567231
Timestep: 1-1000, Program time: 849.687 s, Sim. time: 3.41924 TU, Active/Total Cells: 567231/567231
Timestep: 1-1062, Program time: 873.564 s, Sim. time: 3.49059 TU, Active/Total Cells: 567231/567231
Timestep: 1-1100, Program time: 889.331 s, Sim. time: 3.54653 TU, Active/Total Cells: 567231/567231
Timestep: 1-1200, Program time: 926.42 s, Sim. time: 3.6894 TU, Active/Total Cells: 567231/567231
Timestep: 1-1300, Program time: 963.465 s, Sim. time: 3.8251 TU, Active/Total Cells: 567231/567231
Timestep: 1-1400, Program time: 1000.49 s, Sim. time: 3.95529 TU, Active/Total Cells: 567231/567231
Timestep: 1-1500, Program time: 1037.48 s, Sim. time: 4.08035 TU, Active/Total Cells: 567231/567231
Timestep: 1-1593, Program time: 1072.22 s, Sim. time: 4.18871 TU, Active/Total Cells: 567231/567231
Timestep: 2-0, Program time: 1074.96 s, Sim. time: 4.18871 TU, Active/Total Cells: 308533/308533
Timestep: 2-100, Program time: 1095.46 s, Sim. time: 4.3387 TU, Active/Total Cells: 308533/308533
Timestep: 2-200, Program time: 1115.37 s, Sim. time: 4.49006 TU, Active/Total Cells: 308533/308533
Timestep: 2-300, Program time: 1135.21 s, Sim. time: 4.64719 TU, Active/Total Cells: 308533/308533
Timestep: 2-400, Program time: 1155.12 s, Sim. time: 4.80601 TU, Active/Total Cells: 308533/308533
Timestep: 2-456, Program time: 1166.76 s, Sim. time: 4.88683 TU, Active/Total Cells: 308533/308533
Timestep: 2-500, Program time: 1176.1 s, Sim. time: 4.95255 TU, Active/Total Cells: 308533/308533
Timestep: 2-600, Program time: 1195.81 s, Sim. time: 5.10301 TU, Active/Total Cells: 308533/308533
Timestep: 2-700, Program time: 1215.67 s, Sim. time: 5.25622 TU, Active/Total Cells: 308533/308533
Timestep: 2-800, Program time: 1235.61 s, Sim. time: 5.41741 TU, Active/Total Cells: 308533/308533
Timestep: 2-900, Program time: 1255.51 s, Sim. time: 5.56819 TU, Active/Total Cells: 308533/308533
Timestep: 2-912, Program time: 1258.44 s, Sim. time: 5.58494 TU, Active/Total Cells: 308533/308533
Timestep: 2-1000, Program time: 1276.81 s, Sim. time: 5.71692 TU, Active/Total Cells: 308533/308533
Timestep: 2-1100, Program time: 1296.76 s, Sim. time: 5.86791 TU, Active/Total Cells: 308533/308533
Timestep: 2-1200, Program time: 1316.58 s, Sim. time: 6.02406 TU, Active/Total Cells: 308533/308533
Timestep: 2-1300, Program time: 1336.4 s, Sim. time: 6.18423 TU, Active/Total Cells: 308533/308533
Timestep: 2-1368, Program time: 1350.17 s, Sim. time: 6.28306 TU, Active/Total Cells: 308533/308533
