Timestep: 0-0, Program time: 5.41e-07 s, Sim. time: 0 TU, Active/Total Cells: 2141/2198
Timestep: 0-2, Program time: 0.007101 s, Sim. time: 0.00306044 TU, Active/Total Cells: 1324/2300
Timestep: 0-4, Program time: 0.00926646 s, Sim. time: 0.00612089 TU, Active/Total Cells: 1269/2369
Timestep: 0-6, Program time: 0.0116262 s, Sim. time: 0.00918133 TU, Active/Total Cells: 1243/2471
Timestep: 0-8, Program time: 0.0144025 s, Sim. time: 0.0122418 TU, Active/Total Cells: 1199/2571
Timestep: 0-10, Program time: 0.0173121 s, Sim. time: 0.0153022 TU, Active/Total Cells: 1166/2685
Timestep: 0-12, Program time: 0.0203088 s, Sim. time: 0.0183627 TU, Active/Total Cells: 1148/2788
Timestep: 0-14, Program time: 0.0232855 s, Sim. time: 0.0214231 TU, Active/Total Cells: 1121/2891
Timestep: 0-16, Program time: 0.0265307 s, Sim. time: 0.0244836 TU, Active/Total Cells: 1086/2990
Timestep: 0-18, Program time: 0.0298964 s, Sim. time: 0.027544 TU, Active/Total Cells: 1069/3127
Timestep: 0-20, Program time: 0.0330088 s, Sim. time: 0.0306044 TU, Active/Total Cells: 1053/3207
Timestep: 0-22, Program time: 0.0366991 s, Sim. time: 0.0336649 TU, Active/Total Cells: 1033/3310
Timestep: 0-24, Program time: 0.0403495 s, Sim. time: 0.0367253 TU, Active/Total Cells: 1014/3405
Timestep: 0-26, Program time: 0.0465149 s, Sim. time: 0.0403923 TU, Active/Total Cells: 981/1353
Timestep: 0-28, Program time: 0.0484571 s, Sim. time: 0.0445861 TU, Active/Total Cells: 965/1508
Timestep: 0-30, Program time: 0.0504574 s, Sim. time: 0.0486929 TU, Active/Total Cells: 948/1667
Timestep: 0-32, Program time: 0.0525212 s, Sim. time: 0.0527279 TU, Active/Total Cells: 933/1783
Timestep: 0-34, Program time: 0.0546092 s, Sim. time: 0.0567001 TU, Active/Total Cells: 910/1903
Timestep: 0-36, Program time: 0.0570477 s, Sim. time: 0.0606566 TU, Active/Total Cells: 885/2030
Timestep: 0-38, Program time: 0.0595999 s, Sim. time: 0.0645251 TU, Active/Total Cells: 879/2161
Timestep: 0-40, Program time: 0.062149 s, Sim. time: 0.0683786 TU, Active/Total Cells: 875/2267
Timestep: 0-42, Program time: 0.065202 s, Sim. time: 0.0722174 TU, Active/Total Cells: 861/2393
Timestep: 0-44, Program time: 0.0682084 s, Sim. time: 0.0760415 TU, Active/Total Cells: 860/2535
Timestep: 0-46, Program time: 0.0710543 s, Sim. time: 0.0798583 TU, Active/Total Cells: 850/2630
Timestep: 0-48, Program time: 0.0743705 s, Sim. time: 0.0836678 TU, Active/Total Cells: 831/2749
Timestep: 0-50, Program time: 0.0775645 s, Sim. time: 0.0874774 TU, Active/Total Cells: 840/2849
Timestep: 0-52, Program time: 0.0812268 s, Sim. time: 0.0912942 TU, Active/Total Cells: 820/1305
Timestep: 0-54, Program time: 0.0827435 s, Sim. time: 0.0951037 TU, Active/Total Cells: 807/1426
Timestep: 0-56, Program time: 0.084292 s, Sim. time: 0.0989132 TU, Active/Total Cells: 823/1510
Timestep: 0-58, Program time: 0.0861224 s, Sim. time: 0.102723 TU, Active/Total Cells: 822/1627
Timestep: 0-60, Program time: 0.0880492 s, Sim. time: 0.106532 TU, Active/Total Cells: 817/1751
Timestep: 0-62, Program time: 0.0899365 s, Sim. time: 0.110342 TU, Active/Total Cells: 803/1844
Timestep: 0-64, Program time: 0.0921205 s, Sim. time: 0.114151 TU, Active/Total Cells: 814/1955
Timestep: 0-66, Program time: 0.0942947 s, Sim. time: 0.117961 TU, Active/Total Cells: 822/2073
Timestep: 0-68, Program time: 0.0966335 s, Sim. time: 0.12177 TU, Active/Total Cells: 805/2176
Timestep: 0-70, Program time: 0.0989421 s, Sim. time: 0.12558 TU, Active/Total Cells: 827/2255
Timestep: 0-72, Program time: 0.101468 s, Sim. time: 0.129389 TU, Active/Total Cells: 826/2379
Timestep: 0-74, Program time: 0.104139 s, Sim. time: 0.133199 TU, Active/Total Cells: 812/2496
Timestep: 0-76, Program time: 0.107689 s, Sim. time: 0.137336 TU, Active/Total Cells: 816/1213
Timestep: 0-78, Program time: 0.109425 s, Sim. time: 0.1418 TU, Active/Total Cells: 808/1396
Timestep: 0-80, Program time: 0.111229 s, Sim. time: 0.146264 TU, Active/Total Cells: 809/1534
Timestep: 0-82, Program time: 0.112896 s, Sim. time: 0.150729 TU, Active/Total Cells: 817/1641
Timestep: 0-84, Program time: 0.11478 s, Sim. time: 0.155193 TU, Active/Total Cells: 799/1764
Timestep: 0-86, Program time: 0.116659 s, Sim. time: 0.159657 TU, Active/Total Cells: 811/1871
Timestep: 0-88, Program time: 0.118607 s, Sim. time: 0.164122 TU, Active/Total Cells: 829/1992
Timestep: 0-90, Program time: 0.120892 s, Sim. time: 0.168586 TU, Active/Total Cells: 817/2103
Timestep: 0-92, Program time: 0.123106 s, Sim. time: 0.17305 TU, Active/Total Cells: 819/2200
Timestep: 0-94, Program time: 0.125429 s, Sim. time: 0.177514 TU, Active/Total Cells: 829/2312
Timestep: 0-96, Program time: 0.128148 s, Sim. time: 0.181979 TU, Active/Total Cells: 825/2438
Timestep: 0-98, Program time: 0.130718 s, Sim. time: 0.186443 TU, Active/Total Cells: 809/2529
Timestep: 0-100, Program time: 0.13342 s, Sim. time: 0.190907 TU, Active/Total Cells: 837/2635
Timestep: 0-102, Program time: 0.136398 s, Sim. time: 0.197237 TU, Active/Total Cells: 792/1336
Timestep: 0-103, Program time: 0.137216 s, Sim. time: 0.2 TU, Active/Total Cells: 807/1408
Timestep: 0-104, Program time: 0.140007 s, Sim. time: 0.203135 TU, Active/Total Cells: 812/1496
Timestep: 0-106, Program time: 0.141744 s, Sim. time: 0.209404 TU, Active/Total Cells: 798/1644
