Timestep: 0-0, Program time: 0 s, Sim. time: 0 TU, Active/Total Cells: 1356/2198
Timestep: 0-2, Program time: 0.008234 s, Sim. time: 0.001 TU, Active/Total Cells: 1354/2114
Timestep: 0-4, Program time: 0.010382 s, Sim. time: 0.002 TU, Active/Total Cells: 1336/2139
Timestep: 0-6, Program time: 0.0123358 s, Sim. time: 0.003 TU, Active/Total Cells: 1300/2126
Timestep: 0-8, Program time: 0.0142617 s, Sim. time: 0.004 TU, Active/Total Cells: 1274/2123
Timestep: 0-10, Program time: 0.0169463 s, Sim. time: 0.005 TU, Active/Total Cells: 1265/2135
Timestep: 0-12, Program time: 0.0195544 s, Sim. time: 0.006 TU, Active/Total Cells: 1247/2138
Timestep: 0-14, Program time: 0.021774 s, Sim. time: 0.007 TU, Active/Total Cells: 1233/2123
Timestep: 0-16, Program time: 0.024178 s, Sim. time: 0.008 TU, Active/Total Cells: 1216/2130
Timestep: 0-18, Program time: 0.0268625 s, Sim. time: 0.009 TU, Active/Total Cells: 1209/2135
Timestep: 0-20, Program time: 0.029402 s, Sim. time: 0.01 TU, Active/Total Cells: 1194/2125
Timestep: 0-22, Program time: 0.032015 s, Sim. time: 0.011 TU, Active/Total Cells: 1187/2116
Timestep: 0-24, Program time: 0.0342711 s, Sim. time: 0.012 TU, Active/Total Cells: 1167/2081
Timestep: 0-26, Program time: 0.03702 s, Sim. time: 0.013 TU, Active/Total Cells: 1168/2090
Timestep: 0-28, Program time: 0.0396618 s, Sim. time: 0.014 TU, Active/Total Cells: 1161/2088
Timestep: 0-30, Program time: 0.0424312 s, Sim. time: 0.015 TU, Active/Total Cells: 1157/2095
Timestep: 0-32, Program time: 0.0451194 s, Sim. time: 0.016 TU, Active/Total Cells: 1149/2090
Timestep: 0-34, Program time: 0.0476927 s, Sim. time: 0.017 TU, Active/Total Cells: 1138/2081
Timestep: 0-36, Program time: 0.0501429 s, Sim. time: 0.018 TU, Active/Total Cells: 1132/2077
Timestep: 0-38, Program time: 0.0526323 s, Sim. time: 0.019 TU, Active/Total Cells: 1131/2058
Timestep: 0-40, Program time: 0.0551811 s, Sim. time: 0.02 TU, Active/Total Cells: 1124/2066
Timestep: 0-42, Program time: 0.0577287 s, Sim. time: 0.021 TU, Active/Total Cells: 1108/2046
Timestep: 0-44, Program time: 0.0599151 s, Sim. time: 0.022 TU, Active/Total Cells: 1105/2035
Timestep: 0-46, Program time: 0.063037 s, Sim. time: 0.023 TU, Active/Total Cells: 1109/2052
Timestep: 0-48, Program time: 0.0653028 s, Sim. time: 0.024 TU, Active/Total Cells: 1096/2030
Timestep: 0-50, Program time: 0.0673694 s, Sim. time: 0.025 TU, Active/Total Cells: 1082/2009
Timestep: 0-52, Program time: 0.0696754 s, Sim. time: 0.026 TU, Active/Total Cells: 1087/2021
Timestep: 0-54, Program time: 0.0720963 s, Sim. time: 0.027 TU, Active/Total Cells: 1079/2008
Timestep: 0-56, Program time: 0.0744495 s, Sim. time: 0.028 TU, Active/Total Cells: 1067/1991
Timestep: 0-58, Program time: 0.0764435 s, Sim. time: 0.029 TU, Active/Total Cells: 1063/1983
Timestep: 0-60, Program time: 0.0789732 s, Sim. time: 0.03 TU, Active/Total Cells: 1060/1979
Timestep: 0-62, Program time: 0.0816575 s, Sim. time: 0.031 TU, Active/Total Cells: 1050/1976
Timestep: 0-64, Program time: 0.0840154 s, Sim. time: 0.032 TU, Active/Total Cells: 1049/1974
Timestep: 0-66, Program time: 0.0862122 s, Sim. time: 0.033 TU, Active/Total Cells: 1032/1942
Timestep: 0-68, Program time: 0.0884112 s, Sim. time: 0.034 TU, Active/Total Cells: 1026/1940
Timestep: 0-70, Program time: 0.0907908 s, Sim. time: 0.035 TU, Active/Total Cells: 1030/1946
Timestep: 0-72, Program time: 0.0932644 s, Sim. time: 0.036 TU, Active/Total Cells: 1026/1943
Timestep: 0-74, Program time: 0.0954624 s, Sim. time: 0.037 TU, Active/Total Cells: 1022/1937
Timestep: 0-76, Program time: 0.0976237 s, Sim. time: 0.038 TU, Active/Total Cells: 1015/1927
Timestep: 0-78, Program time: 0.0997433 s, Sim. time: 0.039 TU, Active/Total Cells: 1006/1915
Timestep: 0-80, Program time: 0.102196 s, Sim. time: 0.04 TU, Active/Total Cells: 1012/1925
Timestep: 0-82, Program time: 0.10438 s, Sim. time: 0.041 TU, Active/Total Cells: 1009/1916
Timestep: 0-84, Program time: 0.106213 s, Sim. time: 0.042 TU, Active/Total Cells: 1006/1907
Timestep: 0-86, Program time: 0.108571 s, Sim. time: 0.043 TU, Active/Total Cells: 994/1902
Timestep: 0-88, Program time: 0.110945 s, Sim. time: 0.044 TU, Active/Total Cells: 986/1885
Timestep: 0-90, Program time: 0.113229 s, Sim. time: 0.045 TU, Active/Total Cells: 988/1889
Timestep: 0-92, Program time: 0.115028 s, Sim. time: 0.046 TU, Active/Total Cells: 983/1876
Timestep: 0-94, Program time: 0.117302 s, Sim. time: 0.047 TU, Active/Total Cells: 969/1860
Timestep: 0-96, Program time: 0.119627 s, Sim. time: 0.048 TU, Active/Total Cells: 970/1877
Timestep: 0-98, Program time: 0.122213 s, Sim. time: 0.049 TU, Active/Total Cells: 969/1881
Timestep: 0-100, Program time: 0.124453 s, Sim. time: 0.05 TU, Active/Total Cells: 957/1846
Timestep: 0-102, Program time: 0.126923 s, Sim. time: 0.051 TU, Active/Total Cells: 966/1862
Timestep: 0-104, Program time: 0.128943 s, Sim. time: 0.052 TU, Active/Total Cells: 956/1854
Timestep: 0-106, Program time: 0.131208 s, Sim. time: 0.053 TU, Active/Total Cells: 958/1854
Timestep: 0-108, Program time: 0.133446 s, Sim. time: 0.054 TU, Active/Total Cells: 954/1855
Timestep: 0-110, Program time: 0.135337 s, Sim. time: 0.055 TU, Active/Total Cells: 953/1849
