Timestep: 0-0, Program time: 0.000335 s, Sim. time: 0 TU, Active/Total Cells: 22961/28561, Max key %: 1.548241e-13
Timestep: 0-17, Program time: 6.692917 s, Sim. time: 0.064866 TU, Active/Total Cells: 23465/46022, Max key %: 1.254081e-11
Timestep: 0-20, Program time: 9.078879 s, Sim. time: 0.076562 TU, Active/Total Cells: 23409/32068, Max key %: 1.853292e-11
Timestep: 0-34, Program time: 13.014034 s, Sim. time: 0.129731 TU, Active/Total Cells: 23817/42221, Max key %: 7.505781e-11
Timestep: 0-40, Program time: 14.442938 s, Sim. time: 0.151947 TU, Active/Total Cells: 24534/35503, Max key %: 1.227254e-10
Timestep: 0-52, Program time: 16.832423 s, Sim. time: 0.194597 TU, Active/Total Cells: 26221/43308, Max key %: 2.572712e-10
Timestep: 0-60, Program time: 18.559683 s, Sim. time: 0.222364 TU, Active/Total Cells: 27730/41887, Max key %: 4.049622e-10
Timestep: 0-72, Program time: 21.080225 s, Sim. time: 0.259462 TU, Active/Total Cells: 30547/51993, Max key %: 7.098449e-10
Timestep: 0-80, Program time: 22.696994 s, Sim. time: 0.284869 TU, Active/Total Cells: 33233/51314, Max key %: 8.838803e-10
Timestep: 0-94, Program time: 25.020912 s, Sim. time: 0.324328 TU, Active/Total Cells: 38031/69461, Max key %: 1.410246e-09
Timestep: 0-100, Program time: 26.338222 s, Sim. time: 0.341714 TU, Active/Total Cells: 40736/63557, Max key %: 1.596486e-09
Timestep: 0-118, Program time: 29.298399 s, Sim. time: 0.389193 TU, Active/Total Cells: 48790/97209, Max key %: 2.530984e-09
Timestep: 0-120, Program time: 30.216857 s, Sim. time: 0.394474 TU, Active/Total Cells: 49896/78205, Max key %: 2.531325e-09
Timestep: 0-140, Program time: 34.453334 s, Sim. time: 0.444853 TU, Active/Total Cells: 61120/96022, Max key %: 3.640271e-09
Timestep: 0-144, Program time: 35.160742 s, Sim. time: 0.454059 TU, Active/Total Cells: 63015/110505, Max key %: 3.824605e-09
Timestep: 0-160, Program time: 40.009251 s, Sim. time: 0.490681 TU, Active/Total Cells: 73276/115248, Max key %: 4.850519e-09
Timestep: 0-174, Program time: 43.976011 s, Sim. time: 0.518924 TU, Active/Total Cells: 81610/141194, Max key %: 5.558609e-09
Timestep: 0-180, Program time: 46.636605 s, Sim. time: 0.531299 TU, Active/Total Cells: 86046/135004, Max key %: 5.811376e-09
Timestep: 0-200, Program time: 54.604948 s, Sim. time: 0.570373 TU, Active/Total Cells: 100126/157025, Max key %: 6.906171e-09
Timestep: 0-208, Program time: 57.359122 s, Sim. time: 0.583790 TU, Active/Total Cells: 105360/189392, Max key %: 7.507722e-09
Timestep: 0-220, Program time: 64.335591 s, Sim. time: 0.605033 TU, Active/Total Cells: 114529/178972, Max key %: 7.824088e-09
Timestep: 0-240, Program time: 75.325920 s, Sim. time: 0.638163 TU, Active/Total Cells: 129692/202208, Max key %: 8.829431e-09
Timestep: 0-247, Program time: 78.572973 s, Sim. time: 0.648655 TU, Active/Total Cells: 134637/231180, Max key %: 9.185184e-09
Timestep: 0-260, Program time: 88.654465 s, Sim. time: 0.668208 TU, Active/Total Cells: 145129/225548, Max key %: 9.552927e-09
Timestep: 0-280, Program time: 103.195815 s, Sim. time: 0.696367 TU, Active/Total Cells: 161119/249502, Max key %: 9.930241e-09
Timestep: 0-294, Program time: 113.247616 s, Sim. time: 0.713521 TU, Active/Total Cells: 171004/278614, Max key %: 1.031865e-08
Timestep: 0-300, Program time: 119.480316 s, Sim. time: 0.721117 TU, Active/Total Cells: 176179/272053, Max key %: 1.071837e-08
Timestep: 0-320, Program time: 137.571703 s, Sim. time: 0.745142 TU, Active/Total Cells: 192375/296321, Max key %: 1.112815e-08
Timestep: 0-340, Program time: 157.231568 s, Sim. time: 0.767287 TU, Active/Total Cells: 208535/320260, Max key %: 1.460605e-08
Timestep: 0-351, Program time: 168.475342 s, Sim. time: 0.778386 TU, Active/Total Cells: 216915/336427, Max key %: 1.676797e-08
Timestep: 0-360, Program time: 179.200514 s, Sim. time: 0.787417 TU, Active/Total Cells: 224270/343719, Max key %: 1.854003e-08
Timestep: 0-380, Program time: 202.782972 s, Sim. time: 0.806389 TU, Active/Total Cells: 240240/367301, Max key %: 2.321776e-08
Timestep: 0-400, Program time: 228.898398 s, Sim. time: 0.823572 TU, Active/Total Cells: 255501/390308, Max key %: 2.958690e-08
Timestep: 0-420, Program time: 258.339885 s, Sim. time: 0.839090 TU, Active/Total Cells: 269966/411968, Max key %: 3.616699e-08
Timestep: 0-426, Program time: 264.821491 s, Sim. time: 0.843252 TU, Active/Total Cells: 273750/435004, Max key %: 3.823068e-08
Timestep: 0-440, Program time: 291.228252 s, Sim. time: 0.853040 TU, Active/Total Cells: 283769/432821, Max key %: 4.262782e-08
Timestep: 0-460, Program time: 324.111892 s, Sim. time: 0.866080 TU, Active/Total Cells: 297606/453629, Max key %: 4.864392e-08
Timestep: 0-480, Program time: 359.434752 s, Sim. time: 0.878067 TU, Active/Total Cells: 310901/473318, Max key %: 5.668152e-08
Timestep: 0-500, Program time: 396.794936 s, Sim. time: 0.889143 TU, Active/Total Cells: 323306/492000, Max key %: 6.409907e-08
Timestep: 0-520, Program time: 435.154941 s, Sim. time: 0.899520 TU, Active/Total Cells: 335427/509870, Max key %: 7.222637e-08
Timestep: 0-538, Program time: 466.126366 s, Sim. time: 0.908117 TU, Active/Total Cells: 345608/545010, Max key %: 8.110365e-08
Timestep: 0-540, Program time: 477.280567 s, Sim. time: 0.909045 TU, Active/Total Cells: 346974/527076, Max key %: 8.110365e-08
Timestep: 0-560, Program time: 519.911747 s, Sim. time: 0.918026 TU, Active/Total Cells: 358063/543453, Max key %: 9.077150e-08
Timestep: 0-580, Program time: 564.570975 s, Sim. time: 0.926462 TU, Active/Total Cells: 368579/559162, Max key %: 9.697696e-08
Timestep: 0-600, Program time: 609.307442 s, Sim. time: 0.934384 TU, Active/Total Cells: 379064/574628, Max key %: 1.080032e-07
Timestep: 0-620, Program time: 656.071539 s, Sim. time: 0.941827 TU, Active/Total Cells: 388846/588971, Max key %: 1.150611e-07
Timestep: 0-640, Program time: 704.265166 s, Sim. time: 0.948862 TU, Active/Total Cells: 398131/602922, Max key %: 1.249985e-07
Timestep: 0-660, Program time: 754.228519 s, Sim. time: 0.955556 TU, Active/Total Cells: 407656/616844, Max key %: 1.328680e-07
Timestep: 0-680, Program time: 797.037577 s, Sim. time: 0.961909 TU, Active/Total Cells: 416649/630456, Max key %: 1.439162e-07
Timestep: 0-700, Program time: 828.984770 s, Sim. time: 0.967929 TU, Active/Total Cells: 425400/643322, Max key %: 1.496950e-07
Timestep: 0-718, Program time: 852.327706 s, Sim. time: 0.972983 TU, Active/Total Cells: 432169/674038, Max key %: 1.586903e-07
Timestep: 0-720, Program time: 861.848515 s, Sim. time: 0.973552 TU, Active/Total Cells: 433318/655235, Max key %: 1.586848e-07
Timestep: 0-740, Program time: 895.099460 s, Sim. time: 0.979078 TU, Active/Total Cells: 441688/667802, Max key %: 1.680742e-07
Timestep: 0-760, Program time: 929.291794 s, Sim. time: 0.984363 TU, Active/Total Cells: 450017/680133, Max key %: 1.778689e-07
Timestep: 0-780, Program time: 964.943682 s, Sim. time: 0.989454 TU, Active/Total Cells: 457578/691435, Max key %: 1.846389e-07
Timestep: 0-800, Program time: 1001.046029 s, Sim. time: 0.994341 TU, Active/Total Cells: 465083/702762, Max key %: 1.951389e-07
Timestep: 0-820, Program time: 1038.230480 s, Sim. time: 0.999101 TU, Active/Total Cells: 472717/714361, Max key %: 1.987449e-07
Timestep: 0-840, Program time: 1075.757434 s, Sim. time: 1.003672 TU, Active/Total Cells: 480034/725387, Max key %: 2.060941e-07
Timestep: 0-860, Program time: 1114.123096 s, Sim. time: 1.008085 TU, Active/Total Cells: 487184/735924, Max key %: 2.174918e-07
Timestep: 0-880, Program time: 1152.477830 s, Sim. time: 1.012360 TU, Active/Total Cells: 494163/746479, Max key %: 2.253336e-07
Timestep: 0-900, Program time: 1192.109278 s, Sim. time: 1.016513 TU, Active/Total Cells: 501047/756983, Max key %: 2.334200e-07
Timestep: 0-920, Program time: 1232.208771 s, Sim. time: 1.020577 TU, Active/Total Cells: 507775/767342, Max key %: 2.416948e-07
Timestep: 0-940, Program time: 1272.184204 s, Sim. time: 1.024518 TU, Active/Total Cells: 514482/777292, Max key %: 2.501882e-07
Timestep: 0-960, Program time: 1313.215763 s, Sim. time: 1.028350 TU, Active/Total Cells: 521013/787186, Max key %: 2.545040e-07
Timestep: 0-980, Program time: 1354.667477 s, Sim. time: 1.032081 TU, Active/Total Cells: 527639/796931, Max key %: 2.588970e-07
Timestep: 0-1000, Program time: 1397.484743 s, Sim. time: 1.035750 TU, Active/Total Cells: 533869/806480, Max key %: 2.633538e-07
Timestep: 0-1012, Program time: 1421.336654 s, Sim. time: 1.037849 TU, Active/Total Cells: 537996/819515, Max key %: 2.678535e-07
