Timestep: 0-0, Program time: 0.000027 s, Sim. time: 0 TU, Active/Total Cells: 1189/2197, Max key %: 0.000000
Timestep: 0-20, Program time: 0.024389 s, Sim. time: 0.030604 TU, Active/Total Cells: 964/1268, Max key %: 1.312915e-13
Timestep: 0-40, Program time: 0.050177 s, Sim. time: 0.070214 TU, Active/Total Cells: 809/1088, Max key %: 5.623648e-13
Timestep: 0-60, Program time: 0.070241 s, Sim. time: 0.107416 TU, Active/Total Cells: 764/1058, Max key %: 1.226596e-12
Timestep: 0-80, Program time: 0.086712 s, Sim. time: 0.146903 TU, Active/Total Cells: 772/1071, Max key %: 1.621918e-12
Timestep: 0-100, Program time: 0.101586 s, Sim. time: 0.196347 TU, Active/Total Cells: 752/1036, Max key %: 1.763211e-12
Timestep: 0-102, Program time: 0.102572 s, Sim. time: 0.200000 TU, Active/Total Cells: 727/1150, Max key %: 1.763211e-12
Timestep: 0-120, Program time: 0.117693 s, Sim. time: 0.257508 TU, Active/Total Cells: 714/998, Max key %: 1.601827e-12
Timestep: 0-140, Program time: 0.133149 s, Sim. time: 0.333122 TU, Active/Total Cells: 670/983, Max key %: 2.303046e-12
Timestep: 0-154, Program time: 0.143302 s, Sim. time: 0.400000 TU, Active/Total Cells: 667/1924, Max key %: 3.346450e-12
Timestep: 0-160, Program time: 0.152322 s, Sim. time: 0.429557 TU, Active/Total Cells: 703/1090, Max key %: 3.838916e-12
Timestep: 0-180, Program time: 0.181873 s, Sim. time: 0.560421 TU, Active/Total Cells: 987/1636, Max key %: 6.654828e-12
Timestep: 0-189, Program time: 0.193770 s, Sim. time: 0.600000 TU, Active/Total Cells: 1202/2439, Max key %: 7.834743e-12
Timestep: 0-200, Program time: 0.219666 s, Sim. time: 0.639678 TU, Active/Total Cells: 1465/2439, Max key %: 8.696218e-12
Timestep: 0-220, Program time: 0.263723 s, Sim. time: 0.695791 TU, Active/Total Cells: 1978/3277, Max key %: 1.010164e-11
Timestep: 0-240, Program time: 0.317824 s, Sim. time: 0.741571 TU, Active/Total Cells: 2497/4144, Max key %: 1.165001e-11
Timestep: 0-260, Program time: 0.382221 s, Sim. time: 0.781834 TU, Active/Total Cells: 3092/5129, Max key %: 1.276645e-11
Timestep: 0-270, Program time: 0.412567 s, Sim. time: 0.800000 TU, Active/Total Cells: 3339/6317, Max key %: 1.335050e-11
Timestep: 0-280, Program time: 0.463387 s, Sim. time: 0.817939 TU, Active/Total Cells: 3681/6066, Max key %: 1.395212e-11
Timestep: 0-300, Program time: 0.555055 s, Sim. time: 0.851900 TU, Active/Total Cells: 4267/7040, Max key %: 1.457263e-11
Timestep: 0-320, Program time: 0.651073 s, Sim. time: 0.883190 TU, Active/Total Cells: 4879/8022, Max key %: 1.586494e-11
Timestep: 0-340, Program time: 0.761838 s, Sim. time: 0.912224 TU, Active/Total Cells: 5432/8925, Max key %: 1.654049e-11
Timestep: 0-360, Program time: 0.880911 s, Sim. time: 0.939345 TU, Active/Total Cells: 5922/9727, Max key %: 1.723382e-11
Timestep: 0-380, Program time: 1.007074 s, Sim. time: 0.964980 TU, Active/Total Cells: 6373/10431, Max key %: 1.794628e-11
Timestep: 0-400, Program time: 1.146503 s, Sim. time: 0.989160 TU, Active/Total Cells: 6793/11094, Max key %: 1.867919e-11
Timestep: 0-410, Program time: 1.207199 s, Sim. time: 1.000000 TU, Active/Total Cells: 6822/13054, Max key %: 1.942855e-11
