Timestep: 0-0, Program time: 0.000300 s, Sim. time: 0 TU, Active/Total Cells: 22961/28561, Max key %: 1.548241e-13
Timestep: 0-17, Program time: 4.155704 s, Sim. time: 0.064866 TU, Active/Total Cells: 23613/66551, Max key %: 1.254081e-11
Timestep: 0-20, Program time: 7.063079 s, Sim. time: 0.076562 TU, Active/Total Cells: 23560/32269, Max key %: 1.853292e-11
Timestep: 0-34, Program time: 9.731449 s, Sim. time: 0.129731 TU, Active/Total Cells: 23754/62271, Max key %: 7.505781e-11
Timestep: 0-40, Program time: 11.905341 s, Sim. time: 0.151947 TU, Active/Total Cells: 24326/35580, Max key %: 1.227254e-10
Timestep: 0-52, Program time: 13.229420 s, Sim. time: 0.194597 TU, Active/Total Cells: 25632/64802, Max key %: 2.572712e-10
Timestep: 0-60, Program time: 14.915812 s, Sim. time: 0.222376 TU, Active/Total Cells: 27283/42317, Max key %: 4.049622e-10
Timestep: 0-72, Program time: 16.276845 s, Sim. time: 0.259462 TU, Active/Total Cells: 29619/74328, Max key %: 7.098449e-10
Timestep: 0-80, Program time: 17.826768 s, Sim. time: 0.284950 TU, Active/Total Cells: 32256/51092, Max key %: 8.838803e-10
Timestep: 0-93, Program time: 19.046620 s, Sim. time: 0.324328 TU, Active/Total Cells: 36662/89282, Max key %: 1.410246e-09
Timestep: 0-100, Program time: 20.282361 s, Sim. time: 0.344677 TU, Active/Total Cells: 39512/62658, Max key %: 1.696237e-09
Timestep: 0-117, Program time: 21.715246 s, Sim. time: 0.389193 TU, Active/Total Cells: 47055/117619, Max key %: 2.530984e-09
Timestep: 0-120, Program time: 22.440934 s, Sim. time: 0.397159 TU, Active/Total Cells: 48642/77117, Max key %: 2.671571e-09
Timestep: 0-140, Program time: 24.795465 s, Sim. time: 0.447580 TU, Active/Total Cells: 59808/94901, Max key %: 3.640270e-09
Timestep: 0-143, Program time: 25.061231 s, Sim. time: 0.454059 TU, Active/Total Cells: 61026/105719, Max key %: 3.824605e-09
Timestep: 0-160, Program time: 27.571773 s, Sim. time: 0.493126 TU, Active/Total Cells: 72145/114352, Max key %: 4.851481e-09
Timestep: 0-172, Program time: 29.020293 s, Sim. time: 0.518924 TU, Active/Total Cells: 80043/160198, Max key %: 5.558611e-09
Timestep: 0-180, Program time: 30.926406 s, Sim. time: 0.535475 TU, Active/Total Cells: 85812/135706, Max key %: 6.071606e-09
Timestep: 0-200, Program time: 34.730137 s, Sim. time: 0.574481 TU, Active/Total Cells: 100121/158123, Max key %: 7.203399e-09
Timestep: 0-206, Program time: 35.743687 s, Sim. time: 0.583790 TU, Active/Total Cells: 103554/182492, Max key %: 7.508924e-09
Timestep: 0-220, Program time: 39.402931 s, Sim. time: 0.608642 TU, Active/Total Cells: 114939/180772, Max key %: 8.150320e-09
Timestep: 0-240, Program time: 44.678235 s, Sim. time: 0.641708 TU, Active/Total Cells: 130620/204576, Max key %: 9.185184e-09
Timestep: 0-245, Program time: 45.756159 s, Sim. time: 0.648655 TU, Active/Total Cells: 133345/225760, Max key %: 9.186513e-09
Timestep: 0-260, Program time: 50.781031 s, Sim. time: 0.671258 TU, Active/Total Cells: 146632/228770, Max key %: 9.554283e-09
Timestep: 0-280, Program time: 57.804065 s, Sim. time: 0.699318 TU, Active/Total Cells: 163200/253735, Max key %: 1.032007e-08
Timestep: 0-291, Program time: 61.180201 s, Sim. time: 0.713521 TU, Active/Total Cells: 171466/299778, Max key %: 1.071982e-08
Timestep: 0-300, Program time: 65.981037 s, Sim. time: 0.724901 TU, Active/Total Cells: 179823/278591, Max key %: 1.071978e-08
Timestep: 0-320, Program time: 74.744621 s, Sim. time: 0.748746 TU, Active/Total Cells: 196739/303688, Max key %: 1.113102e-08
Timestep: 0-340, Program time: 84.433494 s, Sim. time: 0.770724 TU, Active/Total Cells: 213592/328795, Max key %: 1.460773e-08
Timestep: 0-348, Program time: 87.700784 s, Sim. time: 0.778386 TU, Active/Total Cells: 217909/361931, Max key %: 1.620772e-08
Timestep: 0-360, Program time: 95.483268 s, Sim. time: 0.790382 TU, Active/Total Cells: 229459/352385, Max key %: 1.915952e-08
Timestep: 0-380, Program time: 107.420793 s, Sim. time: 0.809112 TU, Active/Total Cells: 245734/376586, Max key %: 2.395290e-08
Timestep: 0-400, Program time: 120.705765 s, Sim. time: 0.826091 TU, Active/Total Cells: 261262/400039, Max key %: 3.046802e-08
Timestep: 0-420, Program time: 135.162688 s, Sim. time: 0.841458 TU, Active/Total Cells: 276041/422362, Max key %: 3.616699e-08
Timestep: 0-423, Program time: 137.070636 s, Sim. time: 0.843252 TU, Active/Total Cells: 276886/435056, Max key %: 3.719077e-08
Timestep: 0-440, Program time: 151.013856 s, Sim. time: 0.855104 TU, Active/Total Cells: 289828/443128, Max key %: 4.378545e-08
Timestep: 0-460, Program time: 167.163034 s, Sim. time: 0.868008 TU, Active/Total Cells: 303754/463885, Max key %: 5.122114e-08
Timestep: 0-480, Program time: 184.187968 s, Sim. time: 0.879906 TU, Active/Total Cells: 316790/483350, Max key %: 5.811059e-08
Timestep: 0-500, Program time: 202.267187 s, Sim. time: 0.890915 TU, Active/Total Cells: 329439/502290, Max key %: 6.726496e-08
Timestep: 0-520, Program time: 221.222320 s, Sim. time: 0.901171 TU, Active/Total Cells: 341552/520444, Max key %: 7.223011e-08
Timestep: 0-535, Program time: 232.619314 s, Sim. time: 0.908117 TU, Active/Total Cells: 349302/567684, Max key %: 8.110762e-08
Timestep: 0-540, Program time: 241.487695 s, Sim. time: 0.910450 TU, Active/Total Cells: 352867/537225, Max key %: 8.297223e-08
Timestep: 0-560, Program time: 261.988649 s, Sim. time: 0.919362 TU, Active/Total Cells: 364202/554164, Max key %: 9.077571e-08
Timestep: 0-580, Program time: 283.301635 s, Sim. time: 0.927724 TU, Active/Total Cells: 374891/570109, Max key %: 1.012798e-07
Timestep: 0-600, Program time: 306.060696 s, Sim. time: 0.935597 TU, Active/Total Cells: 385633/585989, Max key %: 1.103186e-07
Timestep: 0-620, Program time: 329.395378 s, Sim. time: 0.943028 TU, Active/Total Cells: 395541/600911, Max key %: 1.174889e-07
Timestep: 0-640, Program time: 353.823620 s, Sim. time: 0.950019 TU, Active/Total Cells: 405036/614818, Max key %: 1.275867e-07
Timestep: 0-660, Program time: 378.973580 s, Sim. time: 0.956614 TU, Active/Total Cells: 414623/629083, Max key %: 1.383067e-07
Timestep: 0-680, Program time: 404.088790 s, Sim. time: 0.962936 TU, Active/Total Cells: 423903/643051, Max key %: 1.467816e-07
